name	slot	descriptors	effect	bind_effect	is_retold	source	url
108 Prayer Pearls	Neck	Good, Lawful				Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Guru_Veil_List
Abductor's Shadow	Wrists, Shoulders	Teleportation	Gain AC while moving, Stealth while moving quickly.	Wrists: Abduct creatures as you move past them.<br>Shoulders: Teleport a creature within Medium range adjacent to you.		Studio M— April 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Abductor's Shadow (Akasha Retold)	Wrists, Shoulders	Teleportation			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ablation Field	Chest		DR or hardness increases.	Use energy adaptation to gain energy resistance & light shedding.		Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Abyssal Wildblades	Hands	Enhanced, Paired				The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Acidic Mass	Belt	Acid, Fleshwarp	Gain natural armor, retaliate with acid when struck	Deal additional acid damage with melee attacks		Studio M— October 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Acrobatic Ranger's Cap	Head, Headband					Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Adamant Crown	Head, Headband	Mind-affecting	Gain telepathy and you can use Voice veils via telepathy.	Head: Resist illusions & mind-affecting.<br>Headband: Increase Save DC of Mind-Affecting effects.		The Fisherking	https://metzo.miraheze.org/wiki/Lunar_Veil_List
Adelfa's Whiff	Body	Aroma, Poison				Species Archive: Flowerfolk & Fey	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Admiral's Regalia	Headband, Shoulders		Mechs and vehicles reduce penalties from difficult terrain and concealment.	Shoulders: Grant Mech Enhancements to machines.<br>Headband: Grant Mech Enhancements to machines & use machine combination to fuse constructs together.		Arcforge Campaign Setting: Far-Flung Frontiers	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Aerial Nimbus	Body		Wearer can walk on air like solid ground.	Share air walk or summon air elemental.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Guru_Veil_List
Aerial Nimbus (Retold)	Body	Air, Summoning			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Guru_Veil_List
Aether Wire	Hands, Shoulders, Wrists	Enhanced, Force	Create a thin wire that acts as a weapon and can grapple even incorporeal creatures.	Hands: Your reach with the wire is doubled and you may grapple foes far away from you.<br>Wrists: Create a web of deadly wires, as etheric shards .<br>Shoulders: Gain Hands and Wrists binds, your wire prevents magical escape from your grapple.		Studio M— November 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Aether Wire (Akasha Retold)	Hands, Wrists	Enhanced, Force			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Agneyastra	Hands, Shoulders	Enhanced, Fire				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Guru_Veil_List
Aila-ku's Mien	Shoulders, Chest	Good, Healing, Variant, Water				Sea Turtles' Blessings	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Airrunner's Step	Feet	Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Ajna of the Destroyer	Head, Headband	Fire, Light, Fleshwarp				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Guru_Veil_List
Ajna of the Guru	Head, Headband	Divination, Light				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Guru_Veil_List
Alaia's Sash of Orbits	Belt					Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Aldain's Alchemical Armory	Belt	Acid, Cold, Electricity, Enhanced, Fire	Summon exploding phials and alchemical blades.	Expand damage types.		The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
