name	type	system	prerequisites	benefit	normal	special	source	url
Aberrant Form	General	akashic	Cha 15, Passion class feature.	Select one veil granted by your Passion, and one veil from the daevic veilweaving list. You permanently remove the selected Passion veil from your list of Passion veils and replace it with the selected veil from the daevic veilweaving list.				https://metzo.miraheze.org/wiki/Aberrant_Form
Accelerated Gathering	General	other	Gather power class feature, kineticist 5th.	When you use your gather power, you can also spend a standard action to reduce the total burn cost of a blast wild talent used on your next turn by 2. At 11th level you can spend a standard action to reduce the total burn cost of a wild talent used on your next turn by 3. Gathering power in this way ends your turn immediately. You cannot gather power on your next round as a move action to further reduce burn cost.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Accelerated_Gathering
Access Higher Chakra Slot	General	akashic	Con 17, character level 17th.	When this feat is selected, choose one of the following equipment slots: Neck or Belt. You can now bind a veil to that slot. This does not allow you to bind more than one veil to that slot, even if you've gained the ability to bind there from another source.		You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new slot.		https://metzo.miraheze.org/wiki/Access_Higher_Chakra_Slot
Access Low Chakra Slot	General	akashic	Con 13, character level 7th.	When this feat is selected, choose one of the following slots: Hands, Head, or Feet. You can now bind a veil to that slot. This does not allow you to bind more than one veil to that slot, even if you've gained the ability to bind there from another source.		You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new slot.		https://metzo.miraheze.org/wiki/Access_Low_Chakra_Slot
Access Middle Chakra Slot	General	akashic	Con 15, character level 13th.	When this feat is selected, choose one of the following equipment slots: Headband, Shoulders, or Wrists. You can now bind a veil to that slot. This does not allow you to bind more than one veil to that slot, even if you've gained the ability to bind there from another source.		You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new middle chakra.		https://metzo.miraheze.org/wiki/Access_Middle_Chakra_Slot
Adaptive Utility	General	other	Utility wild talent class feature	You treat the effective spell level of all utility wild talents as 1/2 your kineticist level for determining their DCs.	Utility wild talents have their effective spell level treated as their level for determining their DCs.	Legendary kineticists who take this feat instead increase the DCs of their utility wild talents by 1.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Adaptive_Utility
Additional Hypercharge	General	other	Hypercharge class feature	You may select an additional Hypercharge from the list of helmsman Hypercharges, adding it to your list of Hypercharges known.			Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Additional_Hypercharge
Afterburn	Combat	other	Kineticist 1st.	If you accept burn from a wild talent (except for your elemental defense), on your next round you can reduce the burn cost of an infusion by 1.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Afterburn
Ambassador To The Deep	General	other	A depth tolerance of less than 1000 feet.	Your racial depth tolerance increases by 100 feet.		This feat can be taken multiple times, until depth tolerance is equal to 1000 feet.	Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Ambassador_To_The_Deep
Ambassador To The Shallows	General	other	Nommo.	The nommo's pressure sensitivity decreases by 100 feet.		This feat can be taken up to 3 times until pressure sensitivity is zero.	Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Ambassador_To_The_Shallows
Apprentice Chef	General	akashic		You gain the ability to shape the Chef's Armory veil. If you do not have any class levels in a veilweaving class, you may choose to use intelligence, wisdom, or charisma for your veilweaving attribute. If you later gain a level in a veilweaving class, this veil uses that class’s veilweaving modifier for this veil. Treat your veilweaving level as 1/2 of your non-veilweaving class levels higher (minimum 1) for determining effects related to the Chef's Armory veil. This effect cannot give you more veilweaving levels than you have hit dice.			April Augmented: 2018	https://metzo.miraheze.org/wiki/Apprentice_Chef
Argent Fin	Combat	akashic	Two Mithral Current maneuvers known, two Surging Shark maneuvers known	If you draw your weapon while in a Mithral Current stance, you count as being underwater for the purposes of call of the deep effects. While in a Surging Shark stance, your Mithral Current maneuvers all gain the following call of the deep effect.			Akasha Reshaped: Moon and Tides	https://metzo.miraheze.org/wiki/Argent_Fin
Artificial Spartan	Combat	akashic	Android or forgeborn, Daevic level 1st	You may use Intelligence in place of Charisma for all of your daevic class abilities. In addition, you may invest essence into your nanite surge racial trait to gain an additional use per day for each point invested or invest essence into your Fearless, Strange Mind, Natural Armor, Crystal Skin, Memory Matrix, or Constructed racial traits (individually) to increase any of their bonuses by 1 for each point invested.			Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Artificial_Spartan
Aspected Energy	General	akashic	Ability to select an active element or active energy type, ability to shape at least 1 veil with an elemental descriptor	While maintaining an active element or active energy type, you may burn a point of essence to change the descriptor of one of your veils to that element or energy type for 1 round. If the veil grants elemental resistance or deals elemental damage, its resistance or damage changes to match the descriptor.				https://metzo.miraheze.org/wiki/Aspected_Energy
Augmented Pattern	General	rune_magic	Design Focus (creation) or Design Focus (invocation)	Each creature you create with any creation (animation) script or invocation (natural) script gains a +4 enhancement bonus to Strength and Constitution for the duration of the script that created it.			Paths of Magic	https://metzo.miraheze.org/wiki/Augmented_Pattern
Auroral Armaments	General	akashic	Zodiac with the Aurora Orbit, BAB +4.	While you are wielding the weapon form of a Constellation you may take a swift action to add your aurora torch damage to a single attack with that constellation.				https://metzo.miraheze.org/wiki/Auroral_Armaments
Autobuffer	General	other	Burn and internal buffer class features.	Whenever you accept burn on a wild talent, you have a 20% chance to gain a point in your internal buffer at the beginning of your next turn. Each time you fail at this chance, it increases by 20% the next time you accept burn on a wild talent, up to a maximum of 100%. If the chance succeeds, the success rate is reset to 20% for the next time you accept burn on a wild talent. This feat has no effect if you already possess the maximum number of points in your internal buffer and can only add 1 point to your internal buffer per round.		If you possess battle burn, this feat does not trigger when accepting points of battle burn.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Autobuffer
Basic Kinetic Training	General	other	Kineticist 1st or character level 5th.	You gain the basic utility wild talent for any one element. If you later gain a level in the kineticist class, you can immediately exchange this basic utility wild talent for a 1st-level utility wild talent for which you qualify unless you possess a wild talent which requires the basic utility you wish to replace. You cannot gain utility wild talents that would replace a basic utility wild talent (such as basic electrokinesis) this way.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Basic_Kinetic_Training
Bestial Elementalist	General	other	Must possess an animal companion with the bounding blast class feature.	When your animal companion imbues you with a blast through its bounding blast ability, you can deliver that blast within a number of rounds equal to your animal companion’s Constitution modifier.	You must deliver a blast imbued to you by the bounding blast ability by the end of your next turn.	If you possess a kinetic blast, you gain the bounding blast class feature. This functions the same as the bestial kineticist archetype’s bounding blast, except you imbue your animal companion with a kinetic blast you possess instead and it can use that blast within a number of rounds equal to your Constitution modifier.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Bestial_Elementalist
Binding of the Bands	General	other	Character level 11th, racial trait that allows you to shape a veil belonging to the Gifts of the Bearer collection	You treat the veil granted by your racial trait belonging to the Gifts of the Bearer as if it were bound to its chakra. This does not grant you the ability to bind any other veils that would normally be shaped in that chakra slot.				https://metzo.miraheze.org/wiki/Binding_of_the_Bands
Blush of Life	General	other	Vampire	You lose the shadowless racial trait. Additionally, you detect as your actual alignment when<br>subjected to the detect evil spell or similar abilities<br>(unless you have another ability that would alter how<br>you are detected), and Knowledge (religion) checks<br>made to identify you as undead or discern your vampiric nature suffer a -4 penalty.	Undead always detect as evil when subjected to the detect evil spell.		Lords of the Night (page does not exist)	https://metzo.miraheze.org/wiki/Blush_of_Life
