name	discipline	descriptors	display	manifesting_time	range	target_area_effect	duration	saving_throw	power_resistance	power_points	description	augment	special	mythic	source	url
Ability as One	Telepathy	Mind-affecting<br>Network<br>Shared	Mental	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: You plus one creature	1 round/level	Will negates (harmless, see text)	Yes	15	This power reflects the pinnacle of the network abilities — the unification of physical and mental traits in their purest form, ability scores. When you manifest this power, choose one of the six ability scores. The highest example of that score amongst the targets replaces the same ability score amongst all willing targets.<br><br>Only base ability scores can be linked in this way — that is, the ability score without any bonuses or penalties of any type, except racial modifiers, age modifiers, inherent bonuses, and the bonuses every four character levels. Other effects that modify ability scores (such as spells, psionic powers, magic items, class features, and so on) are not transferred, though they remain in effect, altering any replaced score as they would alter the original.	Augment: You may augment this power in one or both of the following ways.<br><br>• If you spend an additional 2 power points, you may instead share the lowest base ability score amongst all targets, willing or not (which may impact spellcasting in a way similar to ability damage). Unwilling targets may make a Will saving throw each round to ignore the effects of this power for that round. You are exempt from any ability score change this way.<br><br>• For every 2 additional power points you spend, you may choose an additional ability score for this power to affect.<br><br>In addition, for every 2 power points spent to achieve either of these results, increase the save DC (if applicable) by 1.			Psionics Expanded: Pawns and Powers, pg. 15<br>Psionics Expanded, pgs. 148–149<br>Ultimate Psionics, pg. 158	https://metzo.miraheze.org/wiki/Ability_as_One
Ablative Armor	Psychokinesis	Force	Visual	1 standard action	Personal	Target: You	10 min./level (D)	None	No	3	A heat-haze of warped space surrounds your armor, hinting that it has been enhanced beyond expectations. You must be wearing a suit of armor (or benefiting from inertial armor or similar effect) or wearing bracers of armor (or similar item that grants an armor bonus to AC) to manifest this power. Your armor bonus to AC increases by two. Each time you are successfully hit by an attack (other than an attack that targets touch AC) the improvement granted by ablative armor is reduced by one. Once your improvement from ablative armor is reduced to zero, this power ends.<br><br>While under the effect of this power, your armor is also treated as if it had the ghost touch property.	Augment: For every three additional power points you spend, the improvement granted by this power increases by one.		Mythic Ablative Armor<br><br>Attacks from non-mythic creatures cause mythic ablative armor to degrade at half the usual rate, so two successful attacks are required to degrade its improvement by one.	Psionics Augmented: Compilation II, pg. 60	https://metzo.miraheze.org/wiki/Ablative_Armor
Absorb Dorje	Psychometabolism	None	Visual	1 standard action	Personal	Target: You	Until discharged; up to 24 hours	None	No	1	A light nausea overtakes you as you witness violation of your body, and a solid object slides under your skin. When you manifest this power, you must be holding a psionic dorje that contains a power that is on your power list but is not necessarily one of your powers known. That dorje merges into your flesh, becoming part of your body.<br><br>As long as the dorje you have absorbed has charges, you may manifest its contained power as if it was one of your powers known. You must expend power points as normal to manifest the absorbed power as well as one charge from the dorje. The manifested power uses your manifester level and ability score for purposes of determining its DC and other variable effects.<br><br>Once the absorbed dorje runs out of charges, it is immediately ejected from your body. You cannot eject it earlier voluntarily however a day after you absorb the dorje, it will slide harmlessly from your skin as absorb dorje expires. You can never have more than one dorje absorbed; attempting to manifest this power again while it is already in effect does not work.<br><br>Mythic Absorb Dorje<br><br>You may absorb as many dorjes as you have mythic tiers. Doing so causes the duration of mythic absorb dorje to be divided by the number of dorjes absorbed. Additionally, manifesting a power from any of the absorbed dorjes consumes a charge from each of the absorbed dorjes.				Psionics Augmented: Powers, pgs. 4–5<br>Psionics Augmented: Compilation II, pg. 61	https://metzo.miraheze.org/wiki/Absorb_Dorje
Absorb Weapon	Psychometabolism	None	Olfactory, Visual	1 standard action	Touch	Target: One weapon weighing up to 15 lbs.	Until discharged; up to 24 hours	None (object)	Yes (object)	1	You can absorb one weapon of up to 15 lbs into your body and a small tattoo that resembles the item absorbed appears on the skin of your arm. The absorbed item is undetectable by normal means, although the effect is detectable via detect psionics. The item can be discharged as a standard action and the weapon is automatically equipped. You must be capable of holding the weapon or it falls to your feet (such as if you had no hands free). If the effect ends without being discharged, the item falls to your feet.<br><br>The weight of the item still counts toward your encumbrance even when absorbed.	Augment: This power can be augmented in one or more of the following ways.<br><br>• For every additional power point spent the weight limit of the item to be absorbed increases by 5 lbs.<br><br>• If you spend two additional power points, you can absorb a shield or armor instead of a weapon. You do not suffer any applicable armor check penalty of the shield or armor absorbed and when discharged, you automatically equip the shield or armor as long as you are capable of equipping the item.<br><br>• If you spend two additional power points, you can store one additional item, although all stored items are discharged at the same time and are added together when determining the total weight.			Psionics Expanded: Hidden Intentions, pg. 34<br>Psionics Expanded, pg. 149<br>Ultimate Psionics, pgs. 158–159	https://metzo.miraheze.org/wiki/Absorb_Weapon
Accelerant	Metacreativity	None	Olfactory	1 standard action	Close (25 ft. + 5 ft./level)	Effect: Ray	1 round/level (D)	See text	No	1	The stench of oils wafts around you, then the target of your ire finds themselves doused in a sticky flammable jelly that reeks of fiery doom. When you manifest accelerant, one creature or object becomes coated by a layer of fluid that they cannot easily remove. The target may immerse their entire body in a solvent to remove the oily slick, but ordinary water does not dissolve the fuel you have created.<br><br>Once so coated, the target is vulnerable to any source of flame, psionic or mundane. Mere contact with fire ignites the gel, forcing the subject to make a Reflex save to avoid catching on fire. On a failed saving throw, the target takes 1d6 points of fire damage. Each round thereafter, the target must make another Reflex save at the same DC to extinguish the flames, with failure resulting in an additional 1d6 points of fire damage. The target of this power may automatically extinguish (but not remove) the burning jelly by jumping into enough water to douse themselves. If insufficient water is available, the target may roll on the ground or smother the fire with cloaks or similar to make another save with a +4 bonus. This fire does not cause clothes or equipment to burn.<br><br>The flammable jelly remains present even when not burning and can be reignited by fresh exposure to a fire source. Once the duration of this power expires, the fuel vanishes. If the target is on fire when accelerant ends, they remain burning until they succeed at putting the fire out.	Augment: For every additional two power points you spend, the damage dealt by this power increases by 1d6 and the saving throw DC increases by 1.		Mythic Accelerant<br><br>The damage dice increase to 1d10s and the target gains the death throes monster special ability. If the subject of mythic accelerant is killed while on fire due to this power, they explode in a blinding flash of fire that deals 10 points of fire damage per damage die to anything within 10 feet per damage die (Reflex DC equal to this power’s halves). The subject does not need to die due to burning to trigger this explosion. If the subject dies while having temporarily extinguished the flames, they do not explode.<br><br>Augmented (6th): Creatures that fail their Reflex save to take half damage from a death throes explosion become covered in mythic accelerant as if originally targeted. This does not extend the duration of this power but such creatures are considered to automatically have been exposed to fire and start taking burning damage on their turns. The death throes special property is inherited by these creatures, possibly allowing a cascading series of explosions for the duration of this power.	Psionics Augmented: Powers, pg. 5<br>Psionics Augmented: Compilation II, pgs. 61–62	https://metzo.miraheze.org/wiki/Accelerant
Accelerate Body	Psychometabolism	None	Visual	1 standard action	Touch	Target: One living creature	Instantaneous	Fortitude (see text)	No	3	You accelerate the body of the touched target and you can choose to affect only detrimental effects, only positive effects or all effects.<br><br>Detrimental: Every poison, disease, ongoing spell effect with a negative effect over time triggers once more as if at least one day had passed (reducing onset time, triggering more saves against diseases or poisons, but only one and so on). A successful saving throw does not count toward ending the affliction, and this extra save does not change the timing of the next save against the affliction. The target can make a Fortitude save to negate this effect.<br><br>Positive: The target heals physical ability damage as if they had rested for a day, gain a new save against any ongoing effects or spells that give new saves after a day and heal their hit dice in hit point damage. No save.<br><br>All: Both of the above effects trigger at the same time. The target gains no save.	Augment: This power may be augmented in one or more of the following ways.<br><br>• If you spend 2 additional power points, the range changes from Touch to Close (25 ft. + 5 ft./2 levels).<br><br>• For every 2 additional power points you spend, the effects trigger as if another day had passed.<br><br>• For every 2 additional power points you spend, you can affect another target with this power.			Psionics Augmented: Feats and Powers, pg. 10	https://metzo.miraheze.org/wiki/Accelerate_Body
Accelerated Entropy	Athanatism	None	Material and olfactory	1 standard action	Close (25 ft. + 5 ft./level)	Area: Ray	Instantaneous	Will negates, see text	No	1	The smell of rancid, rotting vegetation suffuses the area as the object of your ire rapidly ages and falls apart. When you manifest this power, you must make a ranged touch attack (typically AC 10) against a single magical or psionic consumable item such as a potion, scroll, shard, or power stone. The object targeted must make a successful saving throw or it is immediately broken. If the item is unattended, use its manifester level as its Will saving throw bonus. If the item is attended, use the Will saving throw bonus of the creature holding it.<br><br>This power cannot be normally be used against items that contain more than one charge, such as wands or dorjes. In the case of items such as scrolls that are single-use but contain more than one spell or power, one randomly chosen spell or power can be ruined per manifestation of accelerated entropy.	Augment: If you spend 2 additional power points, you can target a single, non-magical item weighing up to 10 pounds per manifester level. In addition, for every two additional power points you spend, the saving throw DC increases by 1.		Mythic Accelerated Entropy<br><br>This power can now apply to items that contain more than one charge. In such a case, if the item fails its saving throw, a number of charges equal to twice your mythic tier are lost, as if they had been used.	Psionics Augmented: Powers, pg. 5<br>Psionics Augmented: Compilation II, pg. 62	https://metzo.miraheze.org/wiki/Accelerated_Entropy
Adapt Body	Psychometabolism	None	Visual	1 standard action	Personal	Target: You	1 hour/level (D)	None	No	9	Your body automatically adapts to hostile environments. You can adapt to underwater, extremely hot, extremely cold, or airless environments, allowing you to survive as if you were a creature native to that environment. You can breathe and move (though penalties to movement and attacks, if any for a particular environment, remain), and you take no damage simply from being in that environment. You need not specify what environment you are adapting to when you manifest this power; simply activate it, and your body will instantly adapt to any hostile environment as needed throughout the duration.<br><br>You can somewhat adapt to extreme environmental features such as acid, lava, fire, and electricity. Any environmental feature that normally directly deals 1 or more dice of damage per round deals you only half the usual amount of damage.			Mythic Adapt Body<br><br>Each time you move from one plane to another while this power is in effect, you can shift the power's effects as a swift action to adapt you to the new plane. When you adapt yourself to a plane, you may choose to gain energy resistance 30 to one type of energy associated with that plane, energy resistance 20 to two forms of energy associated with that plane, or energy resistance 10 against acid, cold, electricity, fire, and sonic. You must make this choice when you enter a new plane and you may not change the selected resistance(s) unless you shift to a new plane.<br><br>Augmented (3rd): If you expend one use of mythic power, you can target a number of additional creatures equal to your mythic tier to a gain the effects of mythic adapt body.	Psionics Unleashed, pg. 75<br>Ultimate Psionics, pg. 159<br>Psionics Augmented: Mythic Psionics, pg. 28	https://metzo.miraheze.org/wiki/Adapt_Body
Affinity Field	Psychometabolism	None	Material and visual	1 standard action	20 ft.	Area: 20-ft.-radius emanation, centered on you	1 round/level (D)	Fortitude negates (potentially harmless);	Yes	17	You create an affinity feedback loop with all creatures within the area. While the duration lasts, affected creatures take all damage (including ability damage) as you do and heal all wounds as you do. Hit points gained or lost persist after this power ends.<br><br>Creatures in range are also subject to magical and psionic effects of 3rd level or lower. Creatures that have an affinity to you gain a saving throw against each new power transferred through the affinity field as if the power were manifested upon them normally. All magical and psionic effects transferred to subjects fade at the end of this power's duration, although instantaneous effects remain. If you suddenly become immune to a particular effect or power, the effect or power to which you are immune cannot be transferred to creatures that have affinity to you, although effects already on creatures that have affinity to you are not ended unless that creature also gains the same immunity.			Mythic Affinity Field<br><br>You choose which creatures share beneficial effects and which one share harmful effects and you add half your mythic tier to the level of magical and psionic effects that creatures are also subject to.<br><br>Augmented: If you expend one use of mythic power, non-mythic effects that are transferred do not end when this power ends; they are in effect as if each target was targeted normally.	Psionics Unleashed, pg. 75<br>Ultimate Psionics, pg. 159<br>Psionics Augmented: Mythic Psionics, pg. 28	https://metzo.miraheze.org/wiki/Affinity_Field
Alienation	Telepathy (Compulsion)	Mind-affecting	Auditory, mental	1 standard action	Medium (100 ft. + 10 ft./level)	Target: 1 living creature	1 round/level	Will negates	Yes	7	You close off the centers of the subject's mind that deal with communication and social interaction. The subject effectively loses knowledge of all languages (including telepathic and body language) and is treated as illiterate for the duration of the power. He may still "speak" and provide verbal components, and to him they sound completely normal, but to anyone else they appear as complete gibberish.<br><br>The subject is unable to understand anyone else on any level and is unable to determine friend from foe. This prevents things such as Sense Motive, the Aid Another action (or benefits from another's Aid Another), any skill check involving communication (including Linguistics), using teamwork feats, knowing if a magical effect used on him is harmless or not until it hits him (thus, he attempts a save against all effects he could) unless he makes a successful Spellcraft check to identify the effect, gaining the benefits from abilities such as bardic performance, or using any Charisma-based skill check (except Use Magic Device). The target no longer counts as an ally for the purposes of determining flanking and all creatures who threaten the subject are considered allies for their own flanking purposes. In addition, the subject cannot make attacks of opportunity while under this effect.<br><br>The subject still understands if his attacks or powers are successful.	Augment: For every additional power point you spend, this power may affect an additional target. No two targets may be further than 15 feet apart. For every 2 power points spent this way, the power's save DC increases by 1.			Psionics Expanded: Pawns and Powers, pg. 15<br>Psionics Expanded, pg. 149<br>Ultimate Psionics, pg. 159	https://metzo.miraheze.org/wiki/Alienation
