name	type	system	prerequisites	benefit	normal	special	source	url
Admixture Efficiency		spheres	Destruction Sphere (Admixture), any Admixture feat, MSB +7	You no longer need to spend an additional spell point to apply an effect from a non-Destruction sphere to an effect when using an Admixture feat. You must still spend spell points on the effect as normal.			Baron’s Uncanny Gateway [SM—]	
Augmenting Admixture (Admixture)	Admixture	spheres	Destruction Sphere (Admixture), Enhancement sphere.	When using Admixture, you may spend an additional spell point to have a single object that takes damage be targeted by an enhancement effect that you possess. If you possess the Mass Enhancement talent, you may apply the enhancement to any objects damaged, up to your maximum targets from Mass Enhancement. This ability can only target objects, it cannot be used to affect creatures.		If you possess the Selective Admixture feat, you may choose to have the effect of any Admixture on the blast affect only the omitted objects rather than affecting damaged creatures.	Baron’s Uncanny Gateway [SM—]	
Auspicious Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Fate sphere.	When using Admixture, you may spend an additional spell point to affect one target damaged by the destructive blast with a word effect you know in place of a second blast type. If you possess Echoing Word, you may apply the word to any targets damaged, up to your maximum targets from Echoing Word.			Spheres of Power/Might (Drop Dead Studios)	
Blood Wrack (Admixture)	Admixture	spheres	Blood sphere, Destruction sphere (Admixture).	When using Admixture, you may spend an additional spell point to have a single creature that takes damage be targeted by blood control (including the free (quicken) or (still) ability granted by initiating blood control) that you possess. Creatures already under the effects of your blood control instead may be targeted by a (quicken) or (still) ability. If you possess the Mass Blood Magic talent, you may apply the blood control to all targets damaged, up to your maximum number of targets from Mass Blood Magic, though all affected creatures must be targeted by the same (quicken) or (still) ability.			Spheres of Power/Might (Drop Dead Studios)	
Boundary Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Protection sphere	When using Admixture, you may spend an additional spell point to center a ward or glyph (if you possess the rapid glyph talent) effect on the target’s square or another affected square or to affect a damaged target with an aegis. If you possess the Mass Aegis talent, you may apply the aegis effect to all targets damaged, up to your maximum targets from Mass Aegis<br><br>Source: Card Casting 2: Counters and Control			Card Casting 2: Counters and Control [3PP]	
Curative Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Life sphere.	When using Admixture, you may spend an additional spell point to have a single creature that takes damage be targeted by a cure, invigorate, or restore. If you possess the Mass Healing talent, you may apply the cure, invigorate, or restore to all targets damaged, up to your maximum targets from Mass Healing. A Life sphere effect which would deal damage (such as a cure on an undead or in conjunction with the Affliction talent) instead deals no damage when used with this feat.			Spheres of Power/Might (Drop Dead Studios) [DbH]	
Digital Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Technomancy sphere.	When using Admixture, you may spend an additional spell point to generate a sprite inside an eligible target damaged by the destructive blast. If you possess Sprite Legion, you may generate sprites in any targets damaged, up to your maximum number from Sprite Legion.			Arcforge Players Compendium [LG]	
Dispelling Admixture (Admixture, Counterspell)	Admixture, Counterspell	spheres	Destruction sphere (Admixture), Counterspell	When using Admixture, you may spend an additional spell point to affect one target damaged by the destructive blast with the counterspell feat in place of a second blast type. If you possess the Improved Counterspell feat, you may pay an additional spell point to target one additional effect on the target per 5 caster levels or counterspell a single effect on each target damaged. If you possess the Greater Counterspell feat, you may pay two additional spell points to target all effects on each target damaged.<br><br>Source: Card Casting 2: Counters and Control			Card Casting 2: Counters and Control [3PP]	
Enhancing Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Enhancement sphere.	When using Admixture, you may spend an additional spell point to have a single creature that takes damage be targeted by an enhancement effect that you possess. If you possess the Mass Enhancement talent, you may apply the enhancement to any targets damaged, up to your maximum targets from Mass Enhancement. This ability can only target creatures, it cannot be used to affect objects.			Spheres of Power/Might (Drop Dead Studios)	
Faerie Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Fallen Fey Sphere (Share Link).	When using Admixture, you may spend an additional spell point to affect one target damaged by the destructive blast with a fey-link in place of a second blast type. If you possess Bounty of the Fey, you may apply the fey-link to any targets damaged, up to your maximum targets from Bounty of the Fey.			Expanded Spheres: Baron's Lost Apocrypha [3PP]	
Generative Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Creation sphere.	When using Admixture, you may spend an additional spell point to have a single creature that takes damage be targeted by an alter effect that you possess. If you possess the Divided Creation talent with the Mass Alter option, you may apply alter to any targets damaged, up to your maximum targets from Divided Creation. Alternatively, you may spend an additional spell point to create an object in the target’s square or another affected square, or create multiple objects if you possess the Divided Creation talent with the Multiple Creations option.			Expanded Spheres: Baron's Lost Apocrypha [3PP]	
Ghostly Admixture (Admixture)	Admixture	spheres	Death sphere, Destruction sphere (Admixture).	When using Admixture, you may spend an additional spell point to affect one target damaged by the destructive blast with a ghost strike effect you know, in place of a second blast type. If you possess the Mass Death Magic talent, you may pay an additional spell point to apply the ghost strike to all targets damaged.			Spheres of Power/Might (Drop Dead Studios)	
Illuminating Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Light sphere.	When using Admixture, you may cause a single creature that takes damage to glow.			Spheres of Power/Might (Drop Dead Studios)	
Introductory Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Conjuration sphere.	When using Admixture, you may spend an additional spell point to summon a creature in a square adjacent to the target’s square or another affected square. If you possess the Mass Summon Talent, you may summon multiple such creatures up to the normal maximum of Mass Summon.			Expanded Spheres: Baron's Lost Apocrypha [3PP]	
Militant Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), War sphere.	When using Admixture, you may spend an additional spell point to center a totem effect on the target’s square or another affected square. Alternatively, if you possess the Totemic Aura talent, you may spend an additional spell point to affect one target damaged by the destructive blast with a totemic aura in place of a second blast type.			Expanded Spheres: Baron's Lost Apocrypha [3PP]	
Mind Wrack (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Mind sphere.	When using Admixture, you may spend an additional spell point to have a single creature that takes damage be targeted by a charm that you possess. If you possess the Mass Charm talent, you may apply the charm to all targets damaged, up to your maximum number of targets from Mass Charm.			Spheres of Power/Might (Drop Dead Studios)	
Morphic Admixture (Admixture)	Admixture	spheres	Alteration sphere, Destruction sphere (Admixture).	When using Admixture, you may spend an additional spell point to have a single creature that takes damage save against a hostile shapeshift. If you possess the Mass Alteration talent, you may apply the hostile shapeshift to all targets damaged, up to your maximum targets from Mass Alteration.			Spheres of Power/Might (Drop Dead Studios)	
Nebulous Admixture (admixture)	admixture	spheres	Destruction sphere (Admixture), Weather sphere.	When using Admixture, you may spend an additional spell point to affect one target damaged by the destructive blast with a shroud effect you know in place of a second blast type. If you possess Encompassing Weather, you may apply the shroud to any targets damaged, up to your maximum targets from Encompassing Weather.			Spheres of Power/Might (Drop Dead Studios)	
Primal Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Nature sphere.	When using Admixture, you may spend an additional spell point to affect one target damaged by the destructive blast with a geomancing or spirit effect which targets a creature or applies to a creature in place of a second blast type. If you possess Environmental Presence or Grant Spirit twice, you may apply the effect to any targets damaged, up to your maximum targets from these talents. Alternatively, you may spend an additional spell point to center a geomancy effect which targets an area on the target’s square or another affected square.			Expanded Spheres: Baron's Lost Apocrypha [3PP]	
Soft Admixture Specialty		spheres	Destruction sphere (Admixture, Damage Control)	When you use the Admixture talent on a destructive blast while using the Damage Control talent to deal no damage with the blast, you do not need to pay an additional spell point or increase the casting time for using Admixture. When using Damage Control, creatures struck by your destructive blast (if it requires an attack roll) or that fail their saving throw are considered to have been damaged by the effect for the purpose of triggering Admixture feats.<br><br>Note: This is not an (admixture) feat.			Expanded Spheres: Baron's Lost Apocrypha [3PP]	
Space-Rending Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Warp sphere (Unwilling Teleport).	When using Admixture, you may spend an additional spell point to have a single creature that takes damage targeted by Unwilling Teleport. If you possess the Mass Teleport talent, you may apply the Unwilling Teleport effect to all targets damaged, up to your maximum targets from Mass Teleport.			Spheres of Power/Might (Drop Dead Studios)	
Spectacular Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Illusion sphere.	When using Admixture, you may spend an additional spell point to affect one target damaged by the destructive blast with a glamer effect in place of a second blast type. If you possess Complex Illusion, you may apply the glamer to any targets damaged, up to your maximum targets from Complex Illusion. Alternatively, you may spend an additional spell point to center a figment effect on the target’s square or another affected square.			Expanded Spheres: Baron's Lost Apocrypha [3PP]	
Spellshock Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Mana sphere.	When using Admixture, you may spend an additional spell point to affect one target damaged by the blast with an (expunge) ability . If you possess Explosive Expunge, you may apply the (expunge) to all targets damaged.			Spheres of Power/Might (Drop Dead Studios) [Mana HB]	
Telekinetic Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Telekinesis sphere.	When using Admixture, you may spend an additional spell point to lift a creature that takes damage as per Hostile Lift. If you possess the Divided Mind talent, you may lift any number of creatures damaged by the destructive blast that do not exceed your lift limit. Maintaining the Hostile Lift requires concentration or spending one spell point as normal.			Spheres of Power/Might (Drop Dead Studios)	
Time-Thief’s Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Time sphere.	When using Admixture, you may spend an additional spell point to have a single creature that takes damage targeted by an alter time ability that you possess. If you possess the Mass Time talent, you may apply the alter time effect to all targets damaged, up to your maximum targets from Mass Time.			Spheres of Power/Might (Drop Dead Studios)	
Umbral Admixture (Admixture)	Admixture	spheres	Dark sphere, Destruction sphere (Admixture).	When using Admixture, you may spend an additional spell point to center a darkness or blot effect on the target’s square or another affected square.			Spheres of Power/Might (Drop Dead Studios)	
Unveiling Admixture (Admixture)	Admixture	spheres	Destruction sphere (Admixture), Divination Sphere (Sensory Overload or Viewing).	When using Admixture, you may spend an additional spell point to center a viewing sensor on the target’s square or another affected square. Alternatively, you may spend a spell point to affect a single target damaged by the blast with the Sensory Overload talent. If you possess Grant Divination twice, you may apply the Sensory Overload to any targets damaged, up to your maximum targets from Grant Divination.			Expanded Spheres: Baron's Lost Apocrypha [3PP]	
