veil	veil_list
108 Prayer Pearls	Guru
108 Prayer Pearls	Lunar
108 Prayer Pearls	Vizier
Abductor's Shadow	Daevic
Abductor's Shadow	Eclipse
Abductor's Shadow	Guru
Abductor's Shadow	Kheshig
Abductor's Shadow	Nexus
Abductor's Shadow	Promethean
Abductor's Shadow	Vizier
Abductor's Shadow	Volur
Abductor's Shadow (Akasha Retold)	Daevic
Abductor's Shadow (Akasha Retold)	Eclipse
Abductor's Shadow (Akasha Retold)	Guru
Abductor's Shadow (Akasha Retold)	Kheshig
Abductor's Shadow (Akasha Retold)	Nexus
Abductor's Shadow (Akasha Retold)	Vizier
Abductor's Shadow (Akasha Retold)	Volur
Ablation Field	Daevic
Ablation Field	Helmsman
Ablation Field	Huay
Ablation Field	Nexus
Ablation Field	Promethean
Ablation Field	Radiant
Ablation Field	Vizier
Ablation Field	Volur
Abyssal Wildblades	Daevic
Abyssal Wildblades	Eclipse
Abyssal Wildblades	Helmsman
Abyssal Wildblades	Huay
Abyssal Wildblades	Nexus
Abyssal Wildblades	Soulforge
Abyssal Wildblades	Stormbound
Acidic Mass	Daevic
Acidic Mass	Eclipse
Acidic Mass	Promethean
Acrobatic Ranger's Cap	Daevic
Acrobatic Ranger's Cap	Eclipse
Acrobatic Ranger's Cap	Guru
Acrobatic Ranger's Cap	Helmsman
Acrobatic Ranger's Cap	Kheshig
Acrobatic Ranger's Cap	Nexus
Acrobatic Ranger's Cap	Stormbound
Acrobatic Ranger's Cap	Vizier
Adamant Crown	Lunar
Adamant Crown	Radiant
Adamant Crown	Vizier
Adelfa's Whiff	Eclipse
Adelfa's Whiff	Huay
Adelfa's Whiff	Nexus
Adelfa's Whiff	Promethean
Adelfa's Whiff	Radiant
Adelfa's Whiff	Vizier
Admiral's Regalia	Helmsman
Admiral's Regalia	Lunar
Admiral's Regalia	Vizier
Aerial Nimbus	Guru
Aerial Nimbus	Huay
Aerial Nimbus	Nexus
Aerial Nimbus	Radiant
Aerial Nimbus	Stormbound
Aerial Nimbus	Volur
Aerial Nimbus (Retold)	Guru
Aerial Nimbus (Retold)	Huay
Aerial Nimbus (Retold)	Nexus
Aerial Nimbus (Retold)	Radiant
Aerial Nimbus (Retold)	Stormbound
Aether Wire	Daevic
Aether Wire	Eclipse
Aether Wire	Guru
Aether Wire	Helmsman
Aether Wire	Nexus
Aether Wire	Soulforge
Aether Wire	Vizier
Aether Wire (Akasha Retold)	Daevic
Aether Wire (Akasha Retold)	Eclipse
