name	category	source	size	speed	ac	attack	ability_scores	special_qualities	starting_stats	advancement	flavor	monster_url	url
Amargasaurus	Animal	Bestiary 6 pg. 311	Medium	30 ft.	+3 natural armor	slam (1d6), tail slap (1d6)	Str 11, Dex 18, Con 9, Int 2, Wis 13, Cha 10	low-light vision, scent.	Size Medium; Speed 30 ft.; AC +3 natural armor; Attack slam (1d6), tail slap (1d6); Ability Scores Str 11, Dex 18, Con 9, Int 2, Wis 13, Cha 10; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Large; AC +2 natural armor; Attack slam (1d8), tail slap (1d8); Ability Scores Str +8, Dex -2, Con +4; Special Qualities trample.	This sauropod has an elongated neck and a long, tapering tail.		https://aonprd.com/DruidCompanions.aspx?ItemName=Amargasaurus
Anglerfish	Animal	Ultimate Wilderness pg. 178	Small	swim 40 ft.	+1 natural armor	bite (1d8 plus grab)	Str 13, Dex 15, Con 12, Int 1, Wis 12, Cha 2	aquatic, grab (Medium), low-light vision, lure (sheds light as per a candle), scent.	Size Small; Speed swim 40 ft.; AC +1 natural armor; Attack bite (1d8 plus grab); Ability Scores Str 13, Dex 15, Con 12, Int 1, Wis 12, Cha 2; Special Qualities aquatic, grab (Medium), low-light vision, lure (sheds light as per a candle), scent.	4th-Level Advancement: Size Medium; AC +2 natural armor; Attack bite (2d6 plus grab); Ability Scores Str +2, Dex -2, Con +4; Special Qualities grab (Large), swallow whole (Medium).	The anglerfish is a fish that uses a bioluminescent lure at the tip of a stalk protruding from its head to attract prey.		https://aonprd.com/DruidCompanions.aspx?ItemName=Anglerfish
Ant, Giant	Animal, Vermin	Ultimate Magic pg. 36	Small	30 ft., climb 20 ft.	+2 natural armor	bite (1d4 plus grab)	Str 10, Dex 12, Con 15, Int —, Wis 12, Cha 10	low-light vision, scent	Size Small; Speed 30 ft., climb 20 ft.; AC +2 natural armor; Attack bite (1d4 plus grab); Ability Scores Str 10, Dex 12, Con 15, Int —, Wis 12, Cha 10; Special Qualities low-light vision, scent; CMD +8 vs. trip.	4th-Level Advancement: Size Medium; Attack bite (1d6 plus grab), sting (1d4 plus poison); Ability Scores Str +4, Dex -2, Con +2; Special Attacks poison (frequency 1 round [4], effect 1 Str damage, cure 1 save, Con-based DC).	A thin, six-legged ant the size of a pony stands at the ready, its mandibles chittering and its stinger dripping with venom.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Ant	https://aonprd.com/DruidCompanions.aspx?ItemName=Ant,%20Giant
Antelope	Animal	Bestiary 3 pg. 311	Small	60 ft.	+1 natural armor	gore (1d4)	Str 10, Dex 17, Con 14, Int 2, Wis 13, Cha 5	low-light vision.	Size Small; Speed 60 ft.; AC +1 natural armor; Attack gore (1d4); Ability Scores Str 10, Dex 17, Con 14, Int 2, Wis 13, Cha 5; Special Qualities low-light vision.	4th-Level Advancement: Ability Scores Str +2, Dex +2, Con +2; Special Attacks powerful charge (gore, 2d4).	This graceful animal has long slender legs and a pair of sharp, sturdy horns arching back from its head.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Antelope	https://aonprd.com/DruidCompanions.aspx?ItemName=Antelope
Ape	Animal	PRPG Core Rulebook pg. 53	Medium	30 ft., climb 30 ft.	+1 natural armor	bite (1d4), 2 claws (1d4)	Str 13, Dex 17, Con 10, Int 2, Wis 12, Cha 7	low-light vision, scent.	Size Medium; Speed 30 ft., climb 30 ft.; AC +1 natural armor; Attack bite (1d4), 2 claws (1d4); Ability Scores Str 13, Dex 17, Con 10, Int 2, Wis 12, Cha 7; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d6), 2 claws (1d6); Ability Scores Str +8, Dex -2, Con +4.	Large, deep-set eyes peer from beneath this great ape’s thick brow as it lumbers forward on its legs and knuckles.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Gorilla	https://aonprd.com/DruidCompanions.aspx?ItemName=Ape
Archaeopyeryx	Animal	Ultimate Wilderness pg. 178	Small	30 ft., fly 40 ft. (poor)	+1 natural armor	bite (1d4)	Str 8, Dex 15, Con 12, Int 2, Wis 13, Cha 7	low-light vision.	Size Small; Speed 30 ft., fly 40 ft. (poor); AC +1 natural armor; Attack bite (1d4); Ability Scores Str 8, Dex 15, Con 12, Int 2, Wis 13, Cha 7; Special Qualities low-light vision.	4th-Level Advancement: Ability Scores Dex +2, Con +2.	This primeval toothed bird has bright plumage, but it is a relatively poor flyer.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Archaeopteryx	https://aonprd.com/DruidCompanions.aspx?ItemName=Archaeopyeryx
Armorfish	Animal	Ultimate Wilderness pg. 178	Small	swim 30 ft.	+6 natural armor	bite (1d4)	Str 13, Dex 13, Con 15, Int 1, Wis 8, Cha 2	aquatic, low-light vision, scent.	Size Small; Speed swim 30 ft.; AC +6 natural armor; Attack bite (1d4); Ability Scores Str 13, Dex 13, Con 15, Int 1, Wis 8, Cha 2; Special Qualities aquatic, low-light vision, scent.	4th-Level Advancement: Size Medium; AC +2 natural armor; Attack bite (1d6); Ability Scores Str +2, Dex -2, Con +4.	The armorfish is a primeval aquatic creature that has exceptionally thick armored scales along its head and back.		https://aonprd.com/DruidCompanions.aspx?ItemName=Armorfish
Assassin Bug, Giant	Animal, Vermin	Ultimate Wilderness pg. 184	Small	30 ft., fly 30 ft. (clumsy)	+2 natural armor	bite (1d4 plus poison), 2 claws (1d3)	Str 13, Dex 15, Con 13, Int —, Wis 10, Cha 2	darkvision 60 ft.	Size Small; Speed 30 ft., fly 30 ft. (clumsy); AC +2 natural armor; Attack bite (1d4 plus poison), 2 claws (1d3); Ability Scores Str 13, Dex 15, Con 13, Int —, Wis 10, Cha 2; Special Attacks poison (frequency 1 round [4]; effect 1d2 Dex; cure 1 save; Con-based DC), poison stream (exposes all creatures in a 15-ft. line to poison, Reflex save negates; Dex-based DC; usable every 1d4 rounds as a standard action); Special Qualities darkvision 60 ft.; CMD +8 vs. trip.	4th-Level Advancement: Size Medium; AC +1 natural armor; Attack bite (1d6 plus poison), 2 claws (1d4); Ability Scores Str +4, Dex -2, Con +2; Special Attacks poison (frequency 1 round [4]; effect 1d2 Dex; cure 2 saves; Con-based DC)..	This long-legged, beetle-like insect can spew a stream of poison at its foes from a distance.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Assassin%20Bug	https://aonprd.com/DruidCompanions.aspx?ItemName=Assassin%20Bug,%20Giant
Aurochs	Animal	Pathfinder RPG Bestiary pg. 174	Medium	40 ft.	+1 natural armor	gore (1d6)	Str 14, Dex 12, Con 12, Int 2, Wis 11, Cha 4	low-light vision, scent.	Size Medium; Speed 40 ft.; AC +1 natural armor; Attack gore (1d6); Ability Scores Str 14, Dex 12, Con 12, Int 2, Wis 11, Cha 4; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +3 natural armor; Attack gore (1d8); Ability Scores Str +8, Dex -2, Con +4; Special Attacks stampede, trample.	This large, horned bull has a dirty black hide and an aggressive temper. Its horns are wide and sharp.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Aurochs	https://aonprd.com/DruidCompanions.aspx?ItemName=Aurochs
Axe Beak	Animal	Bestiary 3 pg. 311	Medium	50 ft.		bite (1d6 + 1-1/2 Str)	Str 10, Dex 17, Con 12, Int 2, Wis 11, Cha 10	low-light vision.	Size Medium; Speed 50 ft.; Attack bite (1d6 + 1-1/2 Str); Ability Scores Str 10, Dex 17, Con 12, Int 2, Wis 11, Cha 10; Special Qualities low-light vision.	4th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8 + 1-1/2 Str); Ability Scores Str +8, Dex -2, Con +4; Special Attacks sudden charge.	This stout bird stands upon two long, muscular legs, each ending in a large, curved talon. A pair of undersized wings sprouts from amid its broad body feathers, as does a powerful neck ending in an avian head armed with a grisly serrated beak.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Axe%20Beak	https://aonprd.com/DruidCompanions.aspx?ItemName=Axe%20Beak
Baboon	Animal	Bestiary 2 pg. 212	Small	30 ft.		bite (1d4)	Str 12, Dex 15, Con 12, Int 2, Wis 12, Cha 5	low-light vision.	Size Small; Speed 30 ft.; Attack bite (1d4); Ability Scores Str 12, Dex 15, Con 12, Int 2, Wis 12, Cha 5; Special Qualities low-light vision.	4th-Level Advancement: Ability Scores Str +2, Con +2.	A hairy, stout animal with opposable thumbs, this creature has a pronounced muzzle and bright red buttocks.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Baboon	https://aonprd.com/DruidCompanions.aspx?ItemName=Baboon
Bacallia	Animal	Druma, Profit and Prophecy pg. 62	Medium	40 ft.	+1 natural armor	2 hooves (1d4)	Str 13, Dex 13, Con 13, Int 2, Wis 12, Cha 13	low-light vision, pristine wool.	Size Medium; Speed 40 ft.; AC +1 natural armor; Attack 2 hooves (1d4); Ability Scores Str 13, Dex 13, Con 13, Int 2, Wis 12, Cha 13; Special Attacks spit; Special Qualities low-light vision, pristine wool.	4th-Level Advancement: Ability Scores Str +2, Con +2; Special Attacks Aura: dazzling (10 ft.); Bonus Feat(s) Nimble Moves.	This animal resembles an alpaca with voluminous, shiny wool.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Bacallia	https://aonprd.com/DruidCompanions.aspx?ItemName=Bacallia
Badger (Wolverine)	Animal	PRPG Core Rulebook pg. 53	Small	30 ft., burrow 10 ft., climb 10 ft.	+2 natural armor	bite (1d4), 2 claws (1d3)	Str 10, Dex 17, Con 15, Int 2, Wis 12, Cha 10	low-light vision, scent.	Size Small; Speed 30 ft., burrow 10 ft., climb 10 ft.; AC +2 natural armor; Attack bite (1d4), 2 claws (1d3); Ability Scores Str 10, Dex 17, Con 15, Int 2, Wis 12, Cha 10; Special Attacks rage (as a barbarian for 6 rounds per day); Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; Attack bite (1d6), 2 claws (1d4); Ability Scores Str +4, Dex -2, Con +2.	This stocky, muscular mammal is the size of a badger, its snarling lips revealing a mouth full of yellow teeth.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Wolverine	https://aonprd.com/DruidCompanions.aspx?ItemName=Badger%20(Wolverine)
