archetype	class	feature	type	level	replaces	text	source	url
Aerochemist	Alchemist	Aeromantic Concoction	Su	6	mutagen, swift poisoning, and persistent mutagen	An aerochemist learns to craft a special alchemical concoction. It takes 10 minutes to brew a dose of this concoction, and once brewed, it remains potent until used. An aerochemist can maintain only 1 dose of this concoction at a time—if he brews a second dose, any existing concoction becomes inert. As with an extract or bomb, an aeromantic concoction that is not in the aerochemist’s possession becomes inert until he picks it up again. Anyone other than the aerochemist who attempts to drink his aeromantic concoction is affected in the same fashion as is a non-alchemist who drinks an alchemist’s mutagen.<br>When consumed, an aerochemist’s aeromantic concoction makes his body become incredibly buoyant for 10 minutes per alchemist level. The concoction grants the aerochemist a +5 bonus on Acrobatics checks to attempt high jumps or long jumps, and he is always treated as having a running start when attempting long jumps. In addition, the aerochemist gains the benefits of feather fall for the concoction’s duration. At 6th level, the aerochemist gains the benefits of fly for the concoction’s duration. At 10th level, the aerochemist can choose to gain the benefits of air walk instead of fly for the concoction’s duration. At 14th level, the duration of the concoction increases to 1 hour per alchemist level.<br>An aerochemist with the infusion discovery can instead create a shared alchemical concoction intended for his allies. This shared concoction grants the same benefits as the normal aeromantic concoction, except the duration is only 1 minute per alchemist level its creator has. At 14th level, the duration increases to 10 minutes per alchemist level. An aerochemist can have only a standard concoction or shared concoction in effect, not both.<br>This replaces mutagen, swift poisoning, and persistent mutagen. An aeromantic alchemist can never gain the mutagen, cognatogen, or inspired cognatogen ability, even from a discovery or another class.	Blood of the Ancients pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aerochemist
Aerochemist	Alchemist	Bombs Away	Ex	2	poison use and swift alchemy	At 2nd level, an aerochemist becomes an expert at attacking from above. He gains a +1 bonus on attack rolls made with thrown weapons against targets that are at least 10 feet below him. This bonus increases to +2 at 6th level, and increases by an additional 1 every 4 levels thereafter, to a maximum bonus of +5 at 18th level.<br>This replaces poison use and swift alchemy.	Blood of the Ancients pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aerochemist
Aerochemist	Alchemist	Aerodynamic Prowess	Su	2	poison resistance	At 2nd level, an aerochemist gains a +2 bonus on Fly checks. This bonus increases to +4 at 5th level, and +6 at 8th level.<br>This replaces poison resistance.	Blood of the Ancients pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aerochemist
Alchemical Sapper	Alchemist	Diminished Alchemy				An alchemical sapper can prepare one fewer extract of each level than normal. If this reduces the number to 0, he can prepare extracts of that level only if his Intelligence allows bonus extracts of that level.	Ultimate Intrigue pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Alchemical%20Sapper
Alchemical Sapper	Alchemist	Class Skills			the alchemist’s class skills	An alchemical sapper adds Knowledge (engineering) and Stealth to his list of class skills.<br>This alters the alchemist’s class skills.	Ultimate Intrigue pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Alchemical%20Sapper
Alchemical Sapper	Alchemist	Demolition Bomb	Su	1	the alchemical sapper’s bomb, so it doesn’t stack with other discoveries that modify bombs; bomb	At 1st level, an alchemical sapper can create a demolition bomb. This bomb deals double his normal bomb damage, half of which is bludgeoning and piercing damage, the other half of which is fire damage. This bomb ignores a number of points of hardness up to 1/2 the alchemical sapper’s level (minimum 1). This counts as an ability that modifies the alchemical sapper’s bomb, so it doesn’t stack with other discoveries that modify bombs. The alchemical sapper can’t use his demolition bomb with the fast bombs discovery. An alchemical sapper can only expend one use of his bomb class feature to create a demolition bomb once per day. He can create one additional demolition bomb per day at 5th level and every 4 alchemist levels thereafter.<br>This ability modifies bomb.	Ultimate Intrigue pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Alchemical%20Sapper
Alchemical Sapper	Alchemist	Delayed Bomb	Su	1	mutagen	An alchemical sapper gains the delayed bomb discovery at 1st level. He does not qualify for the mutagen or cognatogen discoveries until 8th level.<br>This ability replaces mutagen.	Ultimate Intrigue pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Alchemical%20Sapper
Alchemical Sapper	Alchemist	Master Engineer	Ex	2	poison resistance	At 2nd level, an alchemical sapper adds 1/2 his alchemist level to Knowledge (engineering) checks, Craft (stonemasonry) checks, and Craft (traps) checks.<br>This ability replaces poison resistance.	Ultimate Intrigue pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Alchemical%20Sapper
Alchemical Sapper	Alchemist	Camouflage Bomb	Ex	3	swift alchemy	At 3rd level, an alchemical sapper becomes skilled at hiding his bombs. When deploying a delayed bomb or trip mine (see below), the alchemical sapper can camouflage the bomb by taking an additional full-round action. Creatures searching for traps must succeed at a Perception check (DC = 10 + the alchemical sapper’s alchemist level + his Intelligence modifier) to notice a camouflaged bomb.<br>This ability replaces swift alchemy.	Ultimate Intrigue pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Alchemical%20Sapper
Alchemical Sapper	Alchemist	Trip Mine	Su	6	the discovery gained at 6th level	At 6th level, an alchemical sapper can expend two uses of his bomb class feature to prepare a special kind of trap called a trip mine. This special bomb remains inert until 1 round after it leaves the alchemical sapper’s possession, after which time it becomes armed. When a creature enters a square containing an armed trip mine, it explodes, dealing normal bomb damage to all creatures in its square (DC = 10 + 1/2 the alchemical sapper’s alchemist level + his Intelligence modifier; Reflex half ) and splash damage to every creature adjacent to that square. A trip mine can be disarmed with a successful Disable Device check (with a DC equal to the trip mine’s save DC); otherwise, it lasts until the next time the alchemical sapper refreshes his daily bombs.<br>If the alchemical sapper expends four uses of his bomb class feature, his trip mine deals damage as per a demolition bomb; this does not count against his daily uses of the demolition bomb ability. Other than demolition bomb, discoveries that modify bombs cannot apply to trip mine.<br>This ability replaces the discovery gained at 6th level.	Ultimate Intrigue pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Alchemical%20Sapper
