class	option_type	name	subtype	group	source	description	url
Alchemist	Discovery	Acid bomb*		Bomb Discoveries	Advanced Player's Guide pg. 29	When the alchemist creates a bomb, he can choose to have it inflict acid damage. Creatures that take a direct hit from an acid bomb take an additional 1d6 points of acid damage 1 round later.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Anarchic Bombs*		Bomb Discoveries	Champions of Balance pg. 20	When the alchemist creates a bomb, he can choose to have it deal chaotic divine damage. Lawful creatures that take a direct hit from an anarchic bomb must succeed at a Fortitude save or be staggered on their next turn. Against neutral creatures, anarchic bombs deal half damage, and such targets are not affected by their staggering effect. Anarchic bombs have no effect on chaotic-aligned creatures. An alchemist must be at least 8th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Anguish Bomb*		Bomb Discoveries	Distant Realms pg. 52	You can throw bombs infused with psychic trauma. This discovery allows other alchemists to duplicate the anguish bombs used by mnemostillers.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Axiomatic Bombs*		Bomb Discoveries	Champions of Balance pg. 20	When the alchemist creates a bomb, he can choose to have it deal lawful divine damage. Chaotic creatures that take a direct hit from an axiomatic bomb must succeed at a Fortitude save or be staggered on their next turn. Against neutral creatures, axiomatic bombs deal half damage, and such targets are not affected by their staggering effect. Axiomatic bombs have no effect on lawful creatures. An alchemist must be at least 8th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Blackstar Bomb (Su)*		Bomb Discoveries	Monster Codex pg. 32	(Drow only) This bomb crushes the target like a void bomb, then repels nearby creatures with a burst of gravity. The target takes damage as if hit by a void bomb. All other creatures within 5 feet of the target are subject to a bull rush. The alchemist uses his alchemist class level in place of his Combat Maneuver Bonus, and adds his Intelligence modifier in place of his Strength or Dexterity modifier to resolve the bull rush attempts. Creatures moved by a blackstar bomb are pushed directly away from the target’s square. An alchemist must have the void bomb discovery to create blackstar bombs.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Blinding Bomb (Su)*		Bomb Discoveries	Ultimate Magic pg. 15	When the alchemist creates a bomb, he can choose for it to detonate very brightly. Creatures that take a direct hit from a blinding bomb are blinded for 1 minute unless they succeed at a Fortitude save. Creatures in the splash area that fail their saves against the bomb are dazzled for 1 minute. This is a light effect. An alchemist must be at least 8th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Boneshard Bomb*		Bomb Discoveries	Undead Slayer's Handbook pg. 21	This discovery is popular among necromancers and necrologists alike; aside from its offensive potential, necrologists sometimes use it to turn uncooperative live creatures they wish to question into pliable undead. The alchemist’s bomb deals piercing damage instead of fire damage, and creatures that take a direct hit from a boneshard bomb must succeed at a Fortitude save or take 1d4 points of bleed damage in addition to normal damage. If a creature is killed by a boneshard bomb or the resulting bleed effect, its corpse immediately reanimates as an undead creature with the skeleton template. Skeletons that are created in this manner count as undead created by animate dead for the purposes of determining how many undead the alchemist can control. An alchemist must possess the alchemical zombie discovery to select this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Breath Weapon Bomb*		Bomb Discoveries	Ultimate Combat pg. 24	Instead of drawing the components of, creating, and throwing a bomb, the alchemist can draw the components, drink them, mix them within his body, and then expel them as a breath weapon as a standard action. This breath weapon is a 15-foot cone and has the same DC as the bomb. Each creature within the cone takes damage as if it had suffered a direct hit from the alchemist’s bomb, but succeeding at a Reflex save (DC = 10 + 1/2 the alchemist’s level + the alchemist’s Intelligent modifier) halves the damage. Unlike throwing normal bombs, drawing, drinking, and expelling breath weapon bombs does not provoke attacks of opportunity. An alchemist must be at least 6th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Concussive bomb*		Bomb Discoveries	Advanced Player's Guide pg. 29	When the alchemist creates a bomb, he can choose to have it inflict sonic damage. Concussive bombs deal 1d4 points of sonic damage, plus 1d4 points of sonic damage for every odd-numbered level, instead of 1d6. Creatures that take a direct hit from a concussive bomb are deafened for 1 minute unless they succeed at a Fortitude save. An alchemist must be at least 6th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Confusion Bomb (Su)*		Bomb Discoveries	Ultimate Magic pg. 15	The alchemist’s bombs twist the target’s perception of friend and foe. A creature that takes a direct hit from a confusion bomb takes damage from the bomb. The creature is also under the effect of a confusion spell for 1 round per caster level of the alchemist unless they succeed at a Will save. Reduce the amount of normal damage dealt by the bomb by 2d6 (so a bomb that would normally deal 6d6+4 points of damage deals 4d6+4 points of damage instead). An alchemist must be at least 8th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Cursed Bomb*		Bomb Discoveries	Champions of Corruption pg. 26	When an alchemist creates a bomb, he can choose to have it deliver a debilitating curse. A creature that takes a direct hit from a cursed bomb must succeed at a Will save or be affected by bestow curse. An alchemist must be at least 12th level to select this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Cytillesh Bomb		Bomb Discoveries	Inner Sea Monster Codex pg. 23	When the alchemist creates a bomb, he can infuse it with cytillesh extract. Cytillesh bombs deal 1d4 points of damage, plus 1d4 points of damage for every odd-numbered level, instead of 1d6. Creatures that take a direct hit from a cytillesh bomb are sickened for 1 round per alchemist level unless they succeed at Fortitude saves. If a creature is rendered unconscious from this bomb or any other attack before it is able to remove the sickened condition, the victim loses all memory from the last hour and cannot form new memories for 8 hours. The lost and prevented memories might return later as dreams, and can be restored with a restoration spell. This discovery doesn’t stack with other discoveries that alter an alchemist’s bomb.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Darkness Bomb*		Bomb Discoveries	Advanced Race Guide pg. 205	When the alchemist creates a bomb, he can choose to have it suppress light sources on the target. This extinguishes nonmagical light sources carried by the target and dispels magical light sources for 1 round/level as deeper darkness.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Defoliant Bomb		Bomb Discoveries	Advanced Race Guide pg. 44	These poisonous bombs clear away foliage, dealing extra damage to plant creatures.<br>When the alchemist creates a bomb, he can choose to have it deal extra damage against plant creatures but less damage against other creatures. Against creatures with the plant type, a defoliant bomb deals 1d8 points of damage, plus 1d8 points of damage for every odd-numbered level the alchemist possesses, instead of 1d6. Against all other creatures, the defoliant bomb only deals 1d4 points of damage, plus 1d4 points of damage for every odd-numbered level, instead of 1d6. This is a poison effect. A defoliant bomb kills all normal vegetation in the target's square and its splash area; any plant-based difficult terrain in the affected area becomes normal terrain.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Delayed bomb		Bomb Discoveries	Advanced Player's Guide pg. 29	The alchemist can place a bomb so that it explodes a number of rounds after the alchemist ceases contact with the bomb. This delay can be any number of rounds as chosen by the alchemist, up to a number of rounds equal to his level. If at any point the alchemist reclaims possession of the delayed bomb, he can end the timer and prevent the bomb's detonation. A delayed bomb detonates immediately if any other creature attempts to touch or move it, or if the bomb's contents are removed from the vial (such as if the vial breaks). The bomb deals damage as if it scored a direct hit to any creature in the square with the bomb when it detonates, and splash damage to all adjacent creatures as normal. An alchemist cannot have more than one delayed bomb at one time. If he creates another delayed bomb, the previous bomb becomes inert. Dispel magic can neutralize a delayed bomb, as can a successful Disable Device check (DC equals 10 + the alchemist's level + the alchemist's Intelligence modifier). An alchemist must be at least 8th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Demolition Charge*		Bomb Discoveries	Dungeoneer's Handbook pg. 27	When the alchemist creates a bomb, he can choose to have it deal damage to an object as if by a sunder combat maneuver. If the item is worn or held by an opponent, the item is considered the direct target, and the wearer/holder takes splash damage from the blast. If the object is unattended, a demolition charge deals an additional 2d6 points of damage on a direct hit. This bonus doesn’t affect the bomb’s splash damage. An alchemist must be at least 8th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Directed Bomb		Bomb Discoveries	Magical Marketplace pg. 20	The alchemist can cause his bombs to splash in a 15-foot cone instead of a 5-foot-radius burst. The alchemist chooses the direction of the cone. If the attack misses, roll an additional 1d8 to determine the direction of the blast from where the bomb lands. This discovery can’t be combined with the explosive bomb discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Dispelling bomb		Bomb Discoveries	Advanced Player's Guide pg. 30	When the alchemist creates a bomb, he can choose to have it dispel magic effects instead of deal damage. Creatures that take a direct hit from a dispelling bomb are subject to a targeted dispel magic spell, using the alchemist's level as the caster level. This cannot be used to target a specific spell effect. The alchemist must be at least 6th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Dread Bomb		Bomb Discoveries	Distant Realms pg. 52	Your anguish bombs are tainted with fear and dread. Creatures who take damage from your anguish bombs become frightened for 1d6 rounds. A target that succeeds at a Will saving throw is instead shaken for a single round. An alchemist must be 6th level and have the anguish bomb class feature or the anguish bomb discovery before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Ectoplasmic Bomb*		Bomb Discoveries	Undead Slayer's Handbook pg. 21	The alchemist can infuse her bombs with a special unction that damages incorporeal creatures and reveals the presence of undead creatures hiding in the area. Incorporeal creatures struck by an ectoplasmic bomb take full damage from the bomb. In addition, squares in the affected area of the bomb begin to faintly glow in the spaces where undead creatures have traveled in the last minute, including undead benefiting from invisibility or other forms of obscurity (such as ethereal jaunt), effectively creating a glowing trail. Any undead creatures in the affected area at the time of the explosion likewise glow faintly. This glowing effect lasts for 1 minute, and is otherwise identical to faerie fire.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Explosive bomb*		Bomb Discoveries	Advanced Player's Guide pg. 30	The alchemist's bombs now have a splash radius of 10 feet rather than 5 feet. Creatures that take a direct hit from an explosive bomb catch fire, taking 1d6 points of fire damage each round until the fire is extinguished. Extinguishing the flames is a full-round action that requires a Reflex save. Rolling on the ground provides the target with a +2 to the save. Dousing the target with at least 2 gallons of water automatically extinguishes the flames.	https://aonprd.com/AlchemistDiscoveries.aspx
