name	source	requirements	description	url
Anxious	Quests and Campaigns pg. 22		After suffering terribly for not being tightlipped<br>enough as a child, such as when you accidentally<br>exposed your family to enemy inquisitors, you developed<br>a habit of being overly cautious with your words. You<br>take a –2 penalty on Diplomacy checks and must speak<br>slowly due to the concentration required. Unless stated<br>otherwise, you are assumed to not be speaking at a<br>volume above a whisper.	https://aonprd.com/TraitDisplay.aspx?ItemName=Anxious
Arcane Malignancies	Blood of the Coven pg. 10	Changeling	As changelings sense the awakening of the eerie powers they inherited from their hag progenitors, they are often mortified to discover terrifying and debilitating alterations to their physique. While the call seizes the changelings’ minds around the time their bodies begin maturing, the arcane malignancies that mar their features and extremities have nothing to do with puberty.<br>Not every changeling develops a malignancy, and when a changeling does develop a malignancy, it is often unrelated to whatever traits her hag mother has. These transformations are more akin to a magical allergy, manifesting in response to the well of arcane energy bubbling away in the changeling’s core.<br>A changeling character can take an arcane malignancy as a drawback (Pathfinder RPG Ultimate Campaign 64) in order to select an additional trait at character creation. Randomly determine the arcane malignancy by rolling a d% and consulting the table below.<br>d%Effect<br>1–2The smallest three toes on each of your feet have fused together. You take a –2 penalty on Acrobatics, Climb, and Perform (dance) checks.<br>3–4Your incisors grow so long and sharp that you have difficulty eating. Eating takes twice as long. Consuming a potion or other magical foodstuff requires a full-round action.<br>5–7You have an extra digit on each hand, which hampers your fine motor skills. You take a –2 penalty on Craft, Disable Device, and Sleight of Hand checks.<br>8–10Your limbs and torso are covered with piscine scales that you must constantly moisten. If more than 1 day passes without you applying at least a gallon of water to them, you take 1d3 points of damage each hour until you do so.<br>11–13Your skin bears a sizable scarlet mark that flushes and lightens with your moods. You take a –2 penalty on Bluff and Disguise checks.<br>14–16One of your eyes has grown enlarged and developed a pale, milky film. Daylight seems uncomfortably bright to you. You take a –2 penalty on saving throws against light-based spells and effects, and you are automatically dazzled for 1d6 rounds when exposed to bright light or sunlight.<br>17–19The soles of your feet are flat, and you tire quickly. You can hustle for only a half hour before becoming fatigued, and every 4 hours spent traveling by foot in a day deals 1 point of Constitution damage.<br>20–22Your already pallid complexion grows unusually sensitive to the rays of the sun. Exposure to direct sunlight for more than 1 hour at a time makes you sickened for 24 hours.<br>23–25The tip of your tongue is forked and stiff. You have difficulty making yourself understood. You take a –2 penalty on Bluff, Diplomacy, and Disguise checks to fool or persuade others.<br>26–28The painful and stiff swelling of your joints puts you at a disadvantage in combat. You take a –2 penalty on combat maneuver checks and Escape Artist checks to free yourself when grappled or pinned.<br>29–31Your ears have stretched to an abnormal size, making you overly sensitive to loud noises. Whenever you are dealt sonic damage, you take 1 additional point of damage, and you are deafened for 1 minute whenever you take damage from any sonic effect.<br>32–33The pupils of your eyes resemble a cat’s, and beasts cannot abide your presence. You take a –2 penalty on Handle Animal and Ride checks.<br>34–35You grow velvety-soft fur along your back, arms, and legs that chafes and catches under clothing and armor, increasing the armor check penalty of any armor by 1 and applying a –1 armor check penalty to ordinary clothing. Clothing and armor can be specially fitted for you, eliminating the increased penalty but increasing their price by 50 gp.<br>36–37You grow an extra row of sharp, crooked teeth. The uneven set of your jaws gives you constant headaches. You take a –2 penalty on concentration checks and saving throws against pain effects.<br>38–40It is nearly impossible to find armor that fits your concave chest and unusually narrow, sloping shoulders. The armor check penalty of any armor you wear increases by 1, and you take a –1 penalty to AC when wearing medium or heavy armor.<br>41–42Your throat balloons out like a frog’s, and your voice comes out as an odd croak. You take a –2 penalty on Diplomacy checks and on Perform (act, oratory, and sing) checks.<br>43–45An oozing sore has developed on your face that refuses to heal and makes you more susceptible to illness. You take a –2 penalty on saving throws against disease.<br>46–48Your flesh grows bark, and your major joints have become gnarled and knotted like tree limbs, causing you to move slowly and stiffly. You take a –2 penalty on Reflex saves.<br>49–51Your thin, almost translucent skin is delicate and tears easily. You take 1 point of bleed damage from slashing attacks that deal at least 1 point of damage to you.<br>52–54A massive patch of multicolored warts covers much of your face. People cannot help but stare, and they always remember you once they’ve seen you. You take a –4 penalty on Disguise checks.<br>55–57Your unruly hair grows with alarming speed. If you do not spend 1 hour trimming and grooming your hair every 48 hours, it snarls in nearby foliage whenever you are outdoors, imposing a –2 penalty to your Armor Class and on attack rolls and Stealth checks.<br>58–60Your limbs are thin and frail. You take a –2 penalty to CMD against disarm, grapple, and trip attempts.<br>61–63Your bones shatter as easily as glass. You take 2 additional points of damage each time you are hit by an attack made with a bludgeoning weapon.<br>64–65One arm is turning to stone, though you retain limited mobility. You take a –4 penalty on all skill checks requiring the use of two hands and on attack rolls when wielding a two-handed weapon or fighting with two weapons.<br>66–67You develop an allergy to one spell per spell level from the witch spell list (determined by your GM). Casting or being the target of a spell you’re allergic to causes you to break out in a painful rash. This rash deals 1d4 points of damage per spell level,and imposes a penalty on your Charisma equal to the level of the spell. The rash fades after a number of hours equal to the level of the spell.<br>68–69The joints in your unnaturally long thumbs have fused, and you often fumble objects. When you retrieve a stored item, you have a 10% chance of dropping it.<br>70–72Your knees bend backward like a bird’s, which makes many athletic movements difficult to master. You take a –2 penalty on Climb and Swim checks, and your running speed is only three times your regular walking speed.<br>73–75A tenacious patch of fungus has sprouted on your back, weakening your system against toxins. You take a –2 penalty on saves against poison effects.<br>76–77Your misaligned eyes affect your ability to judge distances. You take a –2 penalty on ranged attack and damage rolls.<br>78–80When you get flustered, heat builds up in your face until it glows with inner fire. You take a –4 penalty on Diplomacy and Perform checks when in the presence of 5 or more creatures.<br>81–83Your ears curl up like dried leaves, and you experience difficulty picking up sounds. You take a –2 penalty on hearing-based Perception checks.<br>84–86Your curving, clawlike fingernails grow so long so quickly that they impede you in dangerous situations. You take a –2 penalty on Escape Artist and Sleight of Hand checks.<br>87–89One of your legs measures noticeably longer than the other, and you lose your balance easily. You take a –2 penalty to CMD against bull rush and trip attempts.<br>90–92Your eyes have swollen to mere slits. You take a –2 penalty on sight-based Perception checks.<br>93–96You develop a shaggy pelt about your neck and shoulders that makes you overheat quickly. You take a –4 penalty on checks and saves to resist environmental heat effects.<br>97–98You grow a tail that you can’t easily conceal and that thrashes violently at inconvenient moments. You take a –2 penalty on Disguise and Stealth checks.<br>99–100You grow vestigial gills. While they grant you no ability to breathe in water, they make it harder for you to catch your breath. When you are fatigued, it takes 12 hours of complete rest to recover. When you are exhausted, it takes 2 hours of complete rest to become fatigued.	https://aonprd.com/TraitDisplay.aspx?ItemName=Arcane%20Malignancies
Attached	Ultimate Campaign pg. 64		You have a strong emotional attachment to a person or object that you're terrified of losing. The GM chooses the object of your attachment. Whenever the object of your attachment is either threatened, in danger, or in someone else's possession, you take a –1 penalty on Will saves and a –2 penalty on saves against fear effects. If the person or object to which you're attached is ever lost, killed, or destroyed, exchange this drawback for the Doubt drawback.	https://aonprd.com/TraitDisplay.aspx?ItemName=Attached
Avarice	Ultimate Campaign pg. 65		Deep, compulsive greed gnaws at you. Whenever monetary treasure is divided, you must end up with a greater share of that treasure than your companions or you're wracked with feelings of jealousy and ill will. When treasure is divided, if you do not end up with at least 10% more treasure than any other individual companion does, you have a hard time being helpful to your allies. You become irritable, and can't take the aid another action for the next week.	https://aonprd.com/TraitDisplay.aspx?ItemName=Avarice
Betrayed (Drawback)	Spymaster's Handbook pg. 6		You were reported to a dangerous authority such as the Gray Gardeners of Galt, the high inquisitors of Cheliax, or the Council of Mwanyisa of Mzali, and narrowly escaped death. You second-guess your instincts constantly, leaving you never sure whether or not to trust someone and endangered if you encounter that group’s agents again. You can roll twice and take the lower result on Sense Motive checks to get hunches. You cannot reroll this result, even if you have another ability that would normally allow you to do so.	https://aonprd.com/TraitDisplay.aspx?ItemName=Betrayed%20(Drawback)
Bitter	Antihero's Handbook pg. 6		You have been hurt repeatedly by those you trusted, and it has become difficult for you to accept help. When you receive healing from an ally’s class feature, spell, or spell-like ability, reduce the amount of that healing by 1 hit point.	https://aonprd.com/TraitDisplay.aspx?ItemName=Bitter
Burned	Quests and Campaigns pg. 22		You were badly burned once by volcanic ash,<br>torch-wielding mobs, or some fiery accident, and the scars<br>pain you terribly you whenever you are too near to fire.<br>You take a –1 penalty on saving throws against fire effects.<br>In addition, whenever you are adjacent to open flames or<br>are on fire, you take a –1 penalty on all attack rolls, saving<br>throws, and skill checks until you spend an entire round<br>away from fire. These penalties are not cumulative. (An<br>instantaneous fire effect adjacent to you or affecting you<br>causes this penalty to apply until 1 round after it is gone.)	https://aonprd.com/TraitDisplay.aspx?ItemName=Burned
Condescending	Quests and Campaigns pg. 22		Raised with the assurance that only<br>those like you are truly worthy of respect, you have an offputting<br>way of demonstrating that you look down on those<br>not of your race and ethnicity or nationality. You take a –5<br>penalty on Diplomacy and Intimidate checks to improve<br>other creatures’ attitudes toward you.	https://aonprd.com/TraitDisplay.aspx?ItemName=Condescending
Cowardly	Antihero's Handbook pg. 6		You might face dangerous situations with bravado, but you are constantly afraid. Your base speed when frightened and fleeing increases by 5 feet, and the penalties you take from having the cowering, frightened, panicked, or shaken conditions increase by 1. If you would normally be immune to fear, you do not take these penalties but instead lose your immunity to fear (regardless of its source).	https://aonprd.com/TraitDisplay.aspx?ItemName=Cowardly
Cruelty	Quests and Campaigns pg. 22		You were rewarded as a child for flaunting<br>your victory over others as completely as possible, and you<br>discovered you enjoyed the feeling of rubbing your foes’<br>faces in the dirt. Whenever you are engaged in combat and<br>there are dying or helpless foes within 30 feet, you take a –2<br>penalty on attack rolls against foes who are neither dying<br>nor helpless.	https://aonprd.com/TraitDisplay.aspx?ItemName=Cruelty
