race	class	benefit	source	url
Dwarves	Alchemist	Add +1/4 to the alchemist's natural armor bonus when using his mutagen.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Arcanist	Add 1/4 to the arcanist’s effective class level when determining the effects of the arcane barrier and arcane weapon arcanist exploits.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Barbarian	Add +1 to the barbarian's total number of rage rounds per day.	Advanced Race Guide pg. 13, Advanced Player's Guide pg. 11	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Bard	Reduce arcane spell failure chance for casting bard spells when wearing medium armor by +1%. Once the total reaches 10%, the bard also receives Medium Armor Proficiency, if he does not already possess it.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Bloodrager	Increase the bloodrager’s total number of bloodrage rounds per day by 1.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Brawler	Reduce the hardness of any object made from clay, stone, or metal by 1 whenever the object is struck by the brawler’s unarmed strike (minimum 0).	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Cavalier	Add +1/2 to the cavalier's bonus to damage against targets of his challenge.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Cleric	Select one domain power granted at 1st level that is normally usable a number of times per day equal to 3 + the cleric's Wisdom modifier. The cleric adds +1/2 to the number of uses per day of that domain power.	Advanced Race Guide pg. 13, Advanced Player's Guide pg. 11	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Druid	Select one domain power granted at 1st level that is normally usable a number of times per day equal to 3 + the druid's Wisdom modifier. The druid adds +1/2 to the number of uses per day of that domain power.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Fighter	Add +1 to the fighter's CMD when resisting a bull rush or trip.	Advanced Race Guide pg. 13, Advanced Player's Guide pg. 11	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Gunslinger	Reduce the misfire chance for one type of firearm by 1/4. You cannot reduce the misfire chance of a firearm below 1.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Hunter	Gain a +1/2 bonus on wild empathy checks the hunter makes to influence animals and magical beasts that live underground.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Inquisitor	Add +1/2 to the inquisitor's level for the purpose of determining the effects of one type of judgment.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Investigator	Gain a +1/4 bonus on Perception checks when underground and +1/2 bonus to the investigator’s trap sense ability regarding stone traps.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Kineticist	Gain a +1/3 bonus on earth element blast damage rolls that apply the kineticist’s elemental overflow bonus.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Magus	Select one known magus arcana usable only once per day. The magus adds +1/6 to the number of times it can be used per day. Once that magus arcana is usable twice per day, the magus must select a different magus arcana.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Medium	Gain a +1/2 bonus on saving throws against possession and a +1/2 bonus on saving throws to end haunt channeler, location channel, and spacious soul.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Mesmerist	Increase painful stare’s damage by 1/4 point.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Monk	Reduce the Hardness of any object made of clay, stone, or metal by 1 whenever the object is struck by the monk's unarmed strike (minimum of 0).	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Occultist	Gain a +1/3 bonus on Appraise and Use Magic Device checks involving stone and metal objects.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Oracle	Reduce the penalty for not being proficient with one weapon by 1. When the nonproficiency penalty for a weapon becomes 0 because of this ability, the oracle is treated as having the appropriate Martial or Exotic Weapon Proficiency feat with that weapon.	Advanced Race Guide pg. 13, Advanced Player's Guide pg. 11	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Paladin	Add a +1 bonus on concentration checks when casting paladin spells.	Advanced Race Guide pg. 13, Advanced Player's Guide pg. 11	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Paladin	Choose a creature type (and subtype, if necessary) from the ranger’s favored enemies list. Add a +1/2 bonus on Knowledge checks to identify creatures of that type. You can choose the same creature type up to six times; if you choose the same creature type six times, add 1 point of damage when smiting creatures of that type.	Horror Adventures pg. 38	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Psychic	When casting psychic abjuration spells, add 1/2 level to the effective caster level of the spell, but only to determine the spell’s duration.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Ranger	Add a +1/2 bonus on wild empathy checks to influence animals and magical beasts that live underground.	Advanced Race Guide pg. 13, Advanced Player's Guide pg. 11	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Rogue	Add a +1/2 bonus on Disable Device checks regarding stone traps and a +1/2 bonus to trap sense regarding stone traps.	Advanced Race Guide pg. 13, Advanced Player's Guide pg. 11	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Shaman	Add 1/4 to the natural armor bonus of the shaman’s spirit animal.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Shifter	Add a +1/2 bonus on wild empathy checks to influence animals and magical beasts that are normally encountered in underground environments.	Ultimate Wilderness pg. 31	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Skald	Reduce the arcane spell failure chance for casting skald spells when wearing heavy armor by 1%. Once the total reduction reaches 10%, the skald also receives Heavy Armor Proficiency (if the skald does not already possess it).	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Slayer	Gain a +1/3 bonus on Knowledge (dungeoneering) checks and on Survival checks when underground. If the slayer has a +1 bonus on Knowledge (dungeoneering) checks from this ability, he is also considered trained in that skill.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Sorcerer	Add +1/2 to acid and earth spell or spell-like ability damage.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Spiritualist	Add 1/6 to the shield bonus granted by the 3rd-level ectoplasmic bonded manifestation ability.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Spiritualist	Add a +1/4 bonus on weapon damage rolls with the slam attacks from ectoplasmic bonded manifestation.	Horror Adventures pg. 38	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Summoner	Add a +1/4 natural armor bonus to the AC of the summoner's eidolon.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Swashbuckler	Add 1/4 to the swashbuckler’s effective class level to determine the extra damage she deals because of the precise strike deed when wielding a light pick or a heavy pick. If the swashbuckler has the Slashing Grace feat or another similar effect, she can treat the battleaxe or handaxe as a one-handed piercing melee weapon, and she gains this benefit when wielding the appropriate weapon for the feat as well.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Vigilante	Increase the bonus from social grace on Craft skills by +1/2.	Ultimate Intrigue pg. 17	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Warpriest	Add 1/3 to the number of times per day the warpriest can use blessings, but he can only use these additional uses on blessings that affect weapons or armor.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Witch	Add +1/4 natural armor bonus to the AC of the witch's familiar.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Wizard	Select one item creation feat known by the wizard. Whenever he crafts an item using that feat, the amount of progress he makes in an 8-hour period increases by 200 gp (50 gp if crafting while adventuring). This does not reduce the cost of the item; it just increases the rate at which the item is crafted.	Advanced Race Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
Dwarves	Wizard	Add 1/3 to the effective caster level of wizard abjuration spells, but only to determine duration.	Horror Adventures pg. 38	https://aonprd.com/RacesDisplay.aspx?ItemName=Dwarf
