feat	req_type	req_value
Champion of Anarchy	other	10 Hit Dice
Champion of Anarchy	other	chaotic neutral alignment
Champion of Balance	other	10 Hit Dice
Champion of Balance	other	neutral alignment
Champion of Destruction	other	10 Hit Dice
Champion of Destruction	other	chaotic evil alignment
Champion of Freedom	other	10 Hit Dice
Champion of Freedom	other	chaotic good alignment
Champion of Grace	other	10 Hit Dice
Champion of Grace	other	neutral good alignment
Champion of Malevolence	other	10 Hit Dice
Champion of Malevolence	other	neutral evil alignment
Champion of Righteousness	other	10 Hit Dice
Champion of Righteousness	other	lawful good alignment
Champion of Tranquility	other	10 Hit Dice
Champion of Tranquility	other	lawful neutral alignment
Champion of Tyranny	other	10 Hit Dice
Champion of Tyranny	other	lawful evil alignment
Armor Material Expertise	bab	Base attack bonus +6 or fighter level 4th
Armor Material Expertise	other	armor training class feature
Armor Material Mastery	feat	Armor Material Expertise
Armor Material Mastery	bab	base attack bonus +11 or fighter level 8th
Armor Material Mastery	other	armor training class feature
Cushioning Armor	feat	Armor training class feature
Cushioning Armor	other	proficiency with medium or heavy armor
Greater Ironclad Reactions	feat	Combat Reflexes
Greater Ironclad Reactions	feat	Ironclad Reactions
Greater Ironclad Reactions	bab	base attack bonus +11 or fighter level 8th
Greater Ironclad Reactions	other	armor trainingclass feature
Greater Ironclad Reactions	other	proficiency with medium armor
Imposing Bearing	feat	Poised Bearing
Imposing Bearing	bab	base attack bonus +11 or fighter level 8th
Imposing Bearing	other	armor training class feature
Imposing Bearing	other	proficiency with heavy armor
Intense Blows	ability	Str 13
Intense Blows	feat	Power Attack
Intense Blows	bab	base attack bonus +6 or fighter level 4th
Intense Blows	other	armor training class feature
Intense Blows	other	proficiency with heavy armor
Ironclad Reactions	bab	Base attack bonus +6 or fighter level 4th
Ironclad Reactions	other	armor training class feature
Ironclad Reactions	other	proficiency with medium armor
Knocking Blows	ability	Str 13
Knocking Blows	feat	Intense Blows
Knocking Blows	feat	Power Attack
Knocking Blows	bab	base attack bonus +11 or fighter level 8th
Knocking Blows	other	armor training class feature
Knocking Blows	other	proficiency with heavy armor
Poised Bearing	bab	Base attack bonus +6 or fighter level 4th
Poised Bearing	other	armor training class feature
Poised Bearing	other	proficiency with medium or heavy armor
Power Attack	ability	Str 13
Power Attack	bab	base attack bonus +1
Secured Armor	bab	Base attack bonus +11 or fighter level 8th
Secured Armor	other	armor training class feature
Secured Armor	other	proficiency with medium or heavy armor
Sprightly Armor	ability	Dex 13
Sprightly Armor	bab	base attack bonus +11 or fighter level 8th
Sprightly Armor	other	armor training class feature
Sprightly Armor	other	proficiency with light armor
Bulette Charge Style	ability	Str 13
Bulette Charge Style	feat	Improved Overrun
Bulette Charge Style	feat	Power Attack
Bulette Charge Style	other	proficiency with heavy armor
Bulette Leap	ability	Str 15
Bulette Leap	feat	Bulette Charge Style
Bulette Leap	feat	Improved Overrun
Bulette Leap	feat	Power Attack
Bulette Leap	other	proficiency with heavy armor
Bulette Rampage	ability	Str 15
Bulette Rampage	feat	Bulette Charge Style
Bulette Rampage	feat	Bulette Leap
Bulette Rampage	feat	Improved Overrun
Bulette Rampage	feat	Power Attack
Bulette Rampage	other	proficiency with heavy armor
Dodge	ability	Dex 13
Improved Overrun	ability	Str 13
Improved Overrun	feat	Power Attack
Improved Overrun	bab	base attack bonus +1
