name	types	source	description	prerequisites	benefit	normal	special	mythic	combat_trick	url
All Gnolls Must Die	Achievement	Legacy of Fire Player's Guide pg. 29	Your name is whispered by black lips throughout the Uwaga Highlands as a bringer of death and pain—few are the gnolls who don’t quake when they hear stories of your deeds.	Deliver the killing blow to 20 gnolls, hyenas, dire hyenas, werehyenas, jackalweres, or minions of Lamashtu.	As long as you carry some sort of trophy harvested from a gnoll (a necklace of ears, a set of teeth, a magic weapon taken from a chieftain, etc.), you gain a +2 morale bonus on all Will saves. You also gain a +2 competence bonus on attack rolls and weapon damage rolls against gnolls, hyenas, dire hyenas, werehyenas, jackalweres, and minions of Lamashtu.					https://aonprd.com/FeatDisplay.aspx?ItemName=All%20Gnolls%20Must%20Die
Chainbreaker	Achievement	Andoran, Spirit of Liberty pg. 13	Nothing rouses your fury and makes you more deadly in battle than the sight of slaves cowering before their masters.	Over the course of at least five different occasions, free a cumulative total of 50+ sentient beings held in unjust captivity.	When in combat with an opponent that you know owns or trades in slaves, once per round you may add a bonus to damage rolls for a melee attack, ranged attack, or targeted spell against that opponent. This bonus damage is +1 for every four Hit Dice you have.					https://aonprd.com/FeatDisplay.aspx?ItemName=Chainbreaker
Eagle Knight Candidate	Achievement	Andoran, Spirit of Liberty pg. 13	You have proven your courage and skill to both the Eagle Knights and the leaders of Andoran.	Character level 5th, convince four different Eagle Knights and either a member of the People’s Council or an Andoran town mayor to write letters of commendation on your behalf.	Choose one branch of the Eagle Knights you hope to join. You gain a specific benefit based on this choice.<br>Golden Legion: Each round as a move action, you may issue commands to all allies within 30 feet who can see and hear you. Each affected ally that obeys your orders gains a +1 bonus on attack rolls, Armor Class, and saving throws during that round.<br>Steel Falcons: You deal +1 damage with weapon attacks directed at any creature against which you have concealment. If you have total concealment against the creature, this bonus increases to +2.<br>Twilight Talons: During the surprise round, the threat range of your weapons doubles for any attack made against unaware targets. This does not stack with any other effect that expands the threat range of a weapon.					https://aonprd.com/FeatDisplay.aspx?ItemName=Eagle%20Knight%20Candidate
Flame-Tested Survivor	Achievement	Legacy of Fire Player's Guide pg. 29	You have burned in the hottest flames, and your flesh bears the proof—fire holds little fear for you anymore.	Knocked unconscious or killed by fire damage at least 10 times.	Your history with fire has attracted the attention of a powerful but mysterious guardian spirit from the Elemental Plane of Water. This spirit grants you fire resistance 5, and you gain a +2 bonus on all saving throws made to resist fire effects.					https://aonprd.com/FeatDisplay.aspx?ItemName=Flame-Tested%20Survivor
Gifted Mesmerist	Achievement	Legacy of Fire Player's Guide pg. 29	Your magic knows the pathways of the mind, and you have become so skilled at casting a certain mind-affecting spell that you can cast it as a spell-like ability.	Successfully affect 25 different targets with charm or compulsion spells.	Choose any one charm or compulsion spell you can cast. You can use this spell once per day as a spell-like ability. Your caster level and DC for this spell-like ability is the same as if you were casting the spell. Each time you gain a level in a spellcasting class, you may replace your current charm or compulsion spell-like ability with a new one.					https://aonprd.com/FeatDisplay.aspx?ItemName=Gifted%20Mesmerist
Graverisen	Achievement	Legacy of Fire Player's Guide pg. 29	Death is no stranger to you, for you have risen from the grave to continue your quest many times.	Die and be brought back at least twice.	You gain a single-use supernatural ability to save yourself from death. The next time you would be killed, you may use this ability, leaving you alive and otherwise unaffected by the attack that would have killed you, even against effects with no saving throw. This does not require an action, and works even if you are helpless or unconscious. If you die and are brought back to life, you gain another single use of this ability. You can only have one use of this ability unspent at any time; any others you might accrue beyond the first are lost.					https://aonprd.com/FeatDisplay.aspx?ItemName=Graverisen
History of Scars	Achievement	Legacy of Fire Player's Guide pg. 29	Your scars bear witness to countless battles.	Take a cumulative total of 1, 000 points of damage. Magical healing offsets this running total; for every 5 points of magical healing you receive, reduce your cumulative damage total by 1.	Your thick scars impart a –2 penalty on all Charisma-based skill checks, but increase your natural armor bonus by +2.					https://aonprd.com/FeatDisplay.aspx?ItemName=History%20of%20Scars
Relentless Butcher	Achievement	Legacy of Fire Player's Guide pg. 29	You revel in the glory of dismemberment and maiming.	Confirm at least 50 critical hits.	When you confirm a critical hit, that opponent must make a Fortitude save (DC = 10 + your Strength or Dexterity modifier) or be stunned for 1 round.					https://aonprd.com/FeatDisplay.aspx?ItemName=Relentless%20Butcher
Champion of Anarchy	Alignment	Pathfinder Unchained pg. 98	You spread chaos wherever you go.	10 Hit Dice, chaotic neutral alignment.	You can store a number of affirmations up to your Charisma bonus (minimum 1) to use at any time, not just within the next 24 hours. You can use an affirmation to cast lesser confusion as a spell-like ability as a standard action, with a caster level equal to your Hit Dice. The duration of this effect on a failed save is 1d4 rounds. Lastly, you gain a +2 bonus on weapon and spell damage rolls against lawful creatures. This is an alignment-based effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Champion%20of%20Anarchy
Champion of Balance	Alignment	Pathfinder Unchained pg. 98	You are dedicated to perfect balance in the multiverse.	10 Hit Dice, neutral alignment.	You gain a +2 bonus on weapon and spell damage rolls against good and evil creatures. You also gain a +2 bonus on weapon and spell damage rolls against lawful and chaotic creatures. These bonuses stack with each other.					https://aonprd.com/FeatDisplay.aspx?ItemName=Champion%20of%20Balance
