name	school	subschool	descriptors	level	casting_time	components	range	target	area	effect	duration	saving_throw	spell_resistance	description	mythic	source	url
Ablative Barrier	conjuration	creation	force	alchemist 2, arcanist 3, bloodrager 2, investigator 2, magus 2, occultist 2, psychic 3, sorcerer 3, summoner 2, summoner (unchained) 3, wizard 3	1 standard action	V, S, M (a piece of metal cut from a shield)	touch	creature touched			1 hour/level or until discharged	Will negates (harmless);	no	Invisible layers of solid force surround and protect the target, granting that target a +2 armor bonus to AC. Additionally, the first 5 points of lethal damage the target takes from each attack are converted into nonlethal damage. Against attacks that already deal nonlethal damage, the target gains DR 5/—. Once this spell has converted 5 points of damage to nonlethal damage per caster level (maximum 50 points), the spell is discharged.	Source Mythic Adventures pg. 84<br>Add half your tier to the spell’s armor bonus. Add half your tier to the amount of lethal damage from each attack that is converted to nonlethal damage and to the DR against nonlethal damage. Add half your tier to your caster level when determining how much damage the spell converts before it’s discharged.	Ultimate Combat pg. 221	https://aonprd.com/SpellDisplay.aspx?ItemName=Ablative%20Barrier
Animal Aspect	transmutation	polymorph		alchemist 2, arcanist 2, bloodrager 2, druid 2, hunter 2, investigator 2, magus 2, psychic 2, ranger 2, redmantisassassin 2, sorcerer 2, wizard 2	1 standard action	V, S, M/DF (a part of the animal)	personal	you			1 minute/level (D)	none;	yes (harmless)	You gain some of the beneficial qualities of an animal. Your base form is largely unchanged and your size is unaltered, but some of your body parts are altered. Armor or gear you are wearing adjusts to your new shape for the duration of the spell. When you cast animal aspect, choose one of the following animals to gain the associated benefits. You can only have one animal aspect or greater animal aspect spell active on you at a time.<br>Frog: Your legs become elongated and muscular. You gain a +4 competence bonus on Acrobatics checks, and you always jump as if you had a running start.<br>Gorilla: Your arms become long, flexible, and strong like those of a great ape. Your unarmed damage die type increases by one step, and you gain a +4 competence bonus on combat maneuver checks when making the grapple or reposition combat maneuver.<br>Monkey: Your hands and arms become dexterous like those of a simian. You gain a +4 competence bonus on Climb checks, and you can throw objects as if you had the Throw Anything feat.<br>Otter: Your hands and feet gain webbing, and your lungs gain capacity, allowing you to move through the water with ease. You gain a Swim speed equal to half your speed, and all the benefits of having a swim speed. Additionally, you can hold your breath for 4 rounds per point of Constitution before being forced to make Constitution checks to keep holding your breath.<br>Raccoon: Your hands become extremely dexterous, and your feet become padded. You gain a +2 competence bonus on Disable Device, Sleight of Hand, and Stealth checks.<br>Raptor: Your legs become built for running speed, like those of a deinonychus. You gain a enhancement bonus of +20 feet to your base speed.<br>Tree Lizard: Your hands and feet gain climbing claws and climbing pads. You gain a climb speed equal to half your normal speed and all the benefits of having a natural climb speed.	Source Mythic Adventures pg. 84<br>You gain low-light vision, a +2 size bonus to the physical ability score of your choice, and a +1 enhancement bonus to your natural armor. Alternatively, you may cast the non-mythic form of this spell on a touched willing creature. Animal Aspect, Greater<br>Source Ultimate Combat pg. 223<br>School transmutation (polymorph); Level alchemist 3, arcanist 4, bloodrager 3, druid 3, hunter 3, investigator 3, magus 3, psychic 4, ranger 3, redmantisassassin 4, sorcerer 4, wizard 4Casting<br>Casting Time 1 standard action<br>Components V, S, M/DF (a part of the animal)Effect<br>Range personal<br>Target you<br>Duration 1 minute/level (D)<br>Saving Throw none; Spell Resistance yes (harmless)Description<br>This spell functions like animal aspect, except you can either gain two aspects at once or one aspect that adds effects to the aspects that animal aspect grants, as described below.<br>Frog: You gain a Swim speed equal to half your normal speed, and all the benefits of having a swim speed.<br>Gorilla: You gain a +2 competence bonus on Perception checks, and a +1 competence bonus on Fortitude saves.<br>Monkey: You gain a +4 competence bonus on Acrobatics checks.<br>Otter: Your swim speed increases to your full normal speed, and you need not make concentration checks to cast spells underwater.<br>Raccoon: Your competence bonuses on Disable Device, Sleight of Hand, and Stealth checks increase to +4.<br>Raptor: Your enhancement bonus to speed increases to +30 feet, and you gain the benefit of the Run feat.<br>Tree Lizard: You gain a +4 competence bonus on Stealth checks.	Ultimate Combat pg. 222	https://aonprd.com/SpellDisplay.aspx?ItemName=Animal%20Aspect
Animate Dead	necromancy		evil	adept 3, antipaladin 3, arcanist 4, cleric 3, occultist 3, oracle 3, shaman 3, sorcerer 4, spiritualist 3, warpriest 3, wizard 4	1 standard action	V, S, M (an onyx gem worth at least 25 gp per Hit Die of the undead)	touch	one corpse			instantaneous	none;	no	This spell turns corpses into undead skeletons or zombies that obey your spoken commands.<br>The undead can be made to follow you, or they can be made to remain in an area and attack any creature (or just a specific kind of creature) entering the place. They remain animated until they are destroyed. A destroyed skeleton or zombie can't be animated again.<br>Regardless of the type of undead you create with this spell, you can't create more HD of undead than twice your caster level with a single casting of animate dead. The desecrate spell doubles this limit.<br>The undead you create remain under your control indefinitely. No matter how many times you use this spell, however, you can control only 4 HD worth of undead creatures per caster level. If you exceed this number, all the newly created creatures fall under your control, and any excess undead from previous castings become uncontrolled. You choose which creatures are released. Undead you control through the Command Undead feat do not count toward this limit.<br>Skeletons: A skeleton can be created only from a mostly intact corpse or skeleton. The corpse must have bones. If a skeleton is made from a corpse, the flesh falls off the bones.<br>Zombies: A zombie can be created only from a mostly intact corpse. The corpse must be that of a creature with a physical anatomy.	Source Mythic Adventures pg. 84<br>Add your tier to your caster level when determining how many Hit Dice of undead you can animate with a single casting of this spell. This doesn’t increase the total number of Hit Dice worth of undead you can control. By expending a second use of mythic power, you can ignore the spell’s material component cost.<br>Augmented (6th): If you expend two uses of mythic power, any skeletons or zombies you create gain either the agile (see page 224) or savage (see page 224) mythic template. This template lasts for a number of days equal to your tier.<br>Alternatively, if you’re 8th tier and expend 10 uses of mythic power, any skeletons you create permanently gain the mythic skeleton template (see page 216). Animate Dead, Lesser<br>Source Ultimate Magic pg. 205<br>School necromancy [evil]; Level arcanist 3, cleric 2, occultist 2, oracle 2, shaman 2, sorcerer 3, spiritualist 2, warpriest 2, wizard 3Casting<br>Casting Time 1 standard action<br>Components V, S, M (an onyx gem worth at least 25 gp per Hit Die of the undead)Effect<br>Range touch<br>Target one corpse<br>Duration instantaneous<br>Saving Throw none; Spell Resistance noDescription<br>This spell functions as animate dead, except you can only create a single Small or Medium skeleton or zombie. You cannot create variant skeletons or zombies with this spell.	PRPG Core Rulebook pg. 241	https://aonprd.com/SpellDisplay.aspx?ItemName=Animate%20Dead
Animate Objects	transmutation			bard 6, cleric 6, occultist 6, oracle 6, psychic 6, skald 6, warpriest 6, witch 6	1 standard action	V, S	medium (100 ft. + 10 ft./level)	one Small object per caster level; see text			1 round/level	none;	no	You imbue inanimate objects with mobility and a semblance of life. Each such animated object then immediately attacks whomever or whatever you initially designate.<br>An animated object can be of any nonmagical material. You may animate one Small or smaller object or a corresponding number of larger objects as follows: A Medium object counts as two Small or smaller objects, a Large object as four, a Huge object as eight, a Gargantuan object as 16, and a Colossal object as 32. You can change the designated target or targets as a move action, as if directing an active spell.<br>This spell cannot affect objects carried or worn by a creature.<br>Animate objects can be made permanent with a permanency spell.	Source Mythic Adventures pg. 84<br>Animated objects you create with this spell get the maximum number of hit points per level, gain a +4 bonus to their Strength ability scores, and have 1–1/2 times the normal number of construction points.	PRPG Core Rulebook pg. 242	https://aonprd.com/SpellDisplay.aspx?ItemName=Animate%20Objects
Animate Plants	transmutation			druid 7, shaman 7	1 standard action	V	close (25 ft. + 5 ft./2 levels)	one Large plant per three caster levels or all plants within range; see text			1 round/level or 1 hour/level; see text	none;	no	You imbue inanimate plants with mobility and a semblance of life. Each animated plant then immediately attacks whomever or whatever you initially designate as though it were an animated object of the appropriate size category. You may animate one Large or smaller plant, or a number of larger plants as follows: a Huge plant counts as two Large or smaller plants, a Gargantuan plant as four, and a Colossal plant as eight. You can change the designated target or targets as a move action, as if directing an active spell.<br>Use the statistics for animated objects, except that plants smaller than Large don't have hardness.<br>Animate plants cannot affect plant creatures, nor does it affect nonliving vegetable material.<br>Entangle: Alternatively, you may imbue all plants within range with a degree of mobility, which allows them to entwine around creatures in the area. This usage of the spell duplicates the effect of an entangle spell. Spell resistance does not keep creatures from being entangled. This effect lasts 1 hour per caster level.	Source Mythic Adventures pg. 84<br>Animated plants you create with this spell get the maximum number of hit points per level, gain a +4 bonus to their Strength ability scores, and have 1–1/2 times the normal number of construction points.	PRPG Core Rulebook pg. 242	https://aonprd.com/SpellDisplay.aspx?ItemName=Animate%20Plants
Anticipate Peril	divination			alchemist 1, arcanist 1, bard 1, hunter 1, investigator 1, medium 1, mesmerist 1, occultist 1, psychic 1, ranger 1, skald 1, sorcerer 1, spiritualist 1, wizard 1	1 standard action	V, S	touch	creature touched			1 minute/level or until activated	Will negates;	yes	A creature affected by anticipate peril gains a preternatural sense of danger. The first time during this spell’s duration that the target has to make an initiative check, the creature adds an insight bonus on that initiative check equal to the spell’s caster level (maximum +5). Once this bonus applies, the effects of the spell end.	Source Mythic Adventures pg. 84<br>Add your tier to the spell’s initiative bonus and the maximum initiative bonus the spell can grant.	Ultimate Magic pg. 206	https://aonprd.com/SpellDisplay.aspx?ItemName=Anticipate%20Peril
Antimagic Field	abjuration			arcanist 6, cleric 8, occultist 6, oracle 8, psychic 7, sorcerer 6, wizard 6	1 standard action	V, S, M/DF (pinch of powdered iron or iron fillings)	10 ft.		10-ft.-radius emanation, centered on you		10 min./level (D)	none;	see text	An invisible barrier surrounds you and moves with you. The space within this barrier is impervious to most magical effects, including spells, spell-like abilities, and supernatural abilities. Likewise, it prevents the functioning of any magic items or spells within its confines.<br>An antimagic field suppresses any spell or magical effect used within, brought into, or cast into the area, but does not dispel it. Time spent within an antimagic field counts against the suppressed spell's duration.<br>Summoned creatures of any type wink out if they enter an antimagic field. They reappear in the same spot once the field goes away. Time spent winked out counts normally against the duration of the conjuration that is maintaining the creature. If you cast antimagic field in an area occupied by a summoned creature that has spell resistance, you must make a caster level check (1d20 + caster level) against the creature's spell resistance to make it wink out. (The effects of instantaneous conjurations are not affected by an antimagic field because the conjuration itself is no longer in effect, only its result.)<br>A normal creature can enter the area, as can normal missiles. Furthermore, while a magic sword does not function magically within the area, it is still a sword (and a masterwork sword at that). The spell has no effect on golems and other constructs that are imbued with magic during their creation process and are thereafter self-supporting (unless they have been summoned, in which case they are treated like any other summoned creatures). Elementals, undead, and outsiders are likewise unaffected unless summoned. These creatures' spell-like or supernatural abilities may be temporarily nullified by the field. Dispel magic does not remove the field.<br>Two or more antimagic fields sharing any of the same space have no effect on each other. Certain spells, such as wall of force, prismatic sphere, and prismatic wall, remain unaffected by antimagic field. Artifacts and deities are unaffected by mortal magic such as this.<br>Should a creature be larger than the area enclosed by the barrier, any part of it that lies outside the barrier is unaffected by the field.	Source Mythic Adventures pg. 84<br>Select a number of spell schools equal to half your tier. Spells and effects of the chosen schools are unaffected by the antimagic field. Source Severance<br>Source Faiths and Philosophies pg. 29<br>School abjuration; Level cleric 6, druid 6, hunter 6, oracle 6, warpriest 6, witch 6Casting<br>Casting Time 1 standard action<br>Components V, S, M (an unworked lodestone)Effect<br>Range 5 feet<br>Area 5-ft.-radius emanation, centered on you<br>Duration 10 minutes/level (D)<br>Saving Throw none; Spell Resistance see textDescription<br>You create an invisible barrier that surrounds you and moves with you, inhibiting one category of magic. When you cast this spell, choose either arcane or divine magic. This spell functions like antimagic field, but it suppresses only spells of the chosen type and supernatural and spell-like class abilities from classes that grant spellcasting of the selected type. Magic items, other spell-like abilities, and other supernatural abilities are unaffected.<br>While this spell is in effect, you must succeed at a concentration check (DC 20 + twice the spell level) to cast any spell, whether arcane or divine. If you fail at the check, you lose the spell as if you had cast it to no effect.	PRPG Core Rulebook pg. 242	https://aonprd.com/SpellDisplay.aspx?ItemName=Antimagic%20Field
Arboreal Hammer	transmutation			druid 4, hunter 4	1 standard action	V, S, DF	medium (100 ft. + 10 ft./level)	one Huge or larger tree			1 round/level (D)	none;	no	This spell animates a tree’s branch and directs it against your foes. At caster level 10th or lower, you can target a Huge tree. At caster level 11th–15th, you can target a Gargantuan tree, and at caster level 16th or higher you can target a Colossal tree. The animated branch makes slam attacks with a Strength score equal to 10 + your caster level. The branch strikes once per round with an attack bonus equal to your caster level + the branch’s Strength modifier, adjusted by the appropriate size modifier (–2 for Huge, –4 for Gargantuan, –8 for Colossal). A Huge tree’s slam deals 2d6 points of damage, a Gargantuan tree’s slam deals 3d6 points of damage, and a Colossal tree’s slam deals 4d6 points of damage; the tree adds 1-1/2 times its Strength modifier to this damage. A Huge tree has reach 15 feet, a Gargantuan has reach 20 feet, and a Colossal has reach 30 feet. The tree attacks the creature you designate when you cast the spell, and is unable to move. You can direct the tree against a new target as a move action. The tree does not gain a bonus for flanking, nor can it help another combatant flank. It cannot attack a foe you cannot see.	Source Mythic Adventures pg. 84<br>You animate two branches instead of one, allowing the tree to attack twice per round. Add your tier to your caster level when determining the tree’s Strength score. A creature struck by both slam attacks in the same round must succeed at a Fortitude save against the spell’s DC or be staggered for 1 round.<br>Augmented (7th): If you expend two uses of mythic power, the tree attempts three slam attacks per round and its slams bypass all damage reduction. A creature struck by all three slam attacks in the same round is stunned for 1 round and staggered for 1d4 rounds after the stun ends. A successful Fortitude save negates the stun and reduces the duration of being staggered by half.	Ultimate Magic pg. 206	https://aonprd.com/SpellDisplay.aspx?ItemName=Arboreal%20Hammer
Arcane Cannon	transmutation			arcanist 7, sorcerer 7, wizard 7	1 round	V, S, F (an ornate miniature cannon forged with a drop of your blood that costs 5,000 gp)	close (25 ft. + 5 ft./2 levels)			one magically animated cannon	1 round/level	none;	no	Your focus becomes a Medium arcane cannon that appears in an unoccupied square within the spell’s range. If no unoccupied square is within range, the spell fails. The cannon comes into existence loaded. Each round thereafter, the cannon can either fire or load. A cannon must be loaded to fire. You do not need to supply ammunition for the cannon.<br>On your turn, you can spend a move action to direct the cannon to wheel itself to a new location, moving the cannon up to 20 feet. If the arcane cannon ever leaves your line of sight, it winks out of existence, and the spell’s duration ends.<br>The cannon has a range increment of 50 feet. It targets touch attack in the first range increment, and it has no misfire chance. The cannon acts as a weapon with the conductive special weapon ability, which you can use to channel your spell-like or supernatural abilities as long as you are within the range of arcane cannon. The cannon’s attack bonus is equal to your caster level + your Intelligence bonus or your Charisma bonus (for wizards or sorcerers, respectively) with an additional +1 per four caster levels (maximum +5 at 20th level). On a hit, the cannon deals 4d10 damage. The arcane cannon attacks have a critical modifier of ×4.<br>The cannon has AC 10, hardness 10, and 80 hit points. If the cannon is subject to a spell or effect that requires a save, it uses your saving throw modifiers. The cannon never provokes attacks of opportunity. If the cannon is destroyed, so is your focus.	Source Mythic Adventures pg. 84<br>The cannon deals 6d10 points of damage on a successful hit. Add your tier to the cannon’s hardness and your tier × 5 to its hit points. Its conductive property can channel any spell with a range of touch (you have to expend only one spell for this, not two). You may cast a spell with an energy descriptor on the cannon. If you do, for a number of rounds equal to the spell’s level, half the cannon’s damage is untyped damage and the other half is energy damage of the spell’s type. Casting a spell with a different energy descriptor onto the cannon replaces its current energy type with that of the new spell.	Ultimate Combat pg. 223	https://aonprd.com/SpellDisplay.aspx?ItemName=Arcane%20Cannon
Aroden's Spellbane	abjuration			arcanist 9, sorcerer 9, wizard 9	1 standard action	V, S, F (cold iron scepter worth at least 1,000 gp)	10 ft.		10-ft.-radius emanation, centered on you		1 hour/level (D)	none;	see text	One of many spells originally created by the Last Azlanti before he became a god, Aroden’s spellbane creates an area within which spells selected by you simply do not function. Select one spell per five caster levels at the time of casting. The spells selected cannot be changed after the spell is cast. Aroden’s spellbane otherwise functions like antimagic field, except its emanation only prevents the functioning of the selected spells. Only the exact spells mentioned are affected—a spellbane set to prevent the casting of summon nature’s ally II would not prevent castings of summon nature’s ally I or summon nature’s ally III. If you move into an area where a previously cast spell you have selected as a banned spell is in effect, that spell is affected as if by antimagic field. If the spell affects a summoned creature that has spell resistance, you must make a caster level check against the creature’s spell resistance to make it wink out.<br>Aroden’s spellbane can even negate an antimagic field, another Aroden’s spellbane, or any spell that specifies immunity to antimagic field (such as wall of force, prismatic sphere, and prismatic wall). Multiple spellbane effects can overlap. Their effects stack, preventing the functioning of every spell targeted by any of the multiple spellbane emanations. Spell effects created by artifacts or deities cannot be suppressed by Aroden’s spellbane.	Source Mythic Origins pg. 12<br>Add half your tier to the number of spells you can select to not function in the area. As a full-round action, you can expend one use of mythic power to change one of the spells blocked by this effect. You can do this as often as you wish during the spell’s duration.	Inner Sea Magic pg. 52	https://aonprd.com/SpellDisplay.aspx?ItemName=Aroden's%20Spellbane
