sphere_name	talent_name	talent_category	subcategory	source	tags	prerequisites	base_cost	description	augments
Alteration	Adaptive Physicality	Base Talent	Alteration Talents	[DRS]	[utility]			Source: Diamond Spheres: Thaumic Potential<br>You may add the following traits to your forms:<br>Appealing Visage: The target gains a +2 circumstance bonus to Diplomacy and Perform checks, in addition to checks made as an impressive display of skill. This bonus increases by 1 for every 4 caster levels you possess. Additionally, any creature that the target impresses has the numerical effects of the impressed condition increased by +2.<br>Assimilate Tool: Choose a body part that the creature possesses, and a tool or similar object that they are holding (this excludes weapons). The object melds into the limb itself, conferring its benefits without having to hold the object, such as granting an arm the benefits of a crowbar, a quill into a finger, or a pair of swim fins to feet. This does not allow the creature to ignore the weight or required hands that the tool may require. An assimilated tool cannot be disarmed, but can be damaged and sundered as normal.<br>If the object is specifically used with an organ (such as a magnifying glass or spyglass being usable with an eye), you can instead meld the object into that organ for the duration. You may grant this trait multiple times.<br>Hyperexpressive Biology: The target’s body becomes hypersensitive to their own emotions, and changes to reflect them (usually by their skin becoming hued with another color). This reduces the DC of Sense Motive checks (except the DC to feint them) made against the target (including opposed checks) by 4; this increases to 8 for Sense Motive checks made to sense the emotion of the creature.	
Alteration	Additional Limbs	Base Talent	Alteration Talents					You may apply the following traits to any form. You may grant each trait multiple times.<br>One extra arm. This arm does not come with any natural attacks nor provide additional attacks, but otherwise are as strong and capable as the creature’s other arms. If the base creature or form has no arms, this trait grants two arms the first time it is gained.<br>Two secondary arms. These arms do not come with any natural attacks nor provide additional attacks. Secondary arms may hold objects, but are not strong enough to be used to hold shields or make attacks, nor possess the dexterity needed to fulfill somatic requirements. Secondary arms do not count as arms or hands for the purposes of traits (or similar effects or abilities) which require arms or hands.<br>A prehensile tail, which may be used to hold objects as if it were a hand, and retrieve objects from a belt or pouch as a swift action.<br>Tail slap natural weapon (secondary, 1d6 Medium, 1d4 Small, requires tail)<br>Stinger natural weapon (primary, 1d4 Medium, 1d3 Small, requires tail)<br>A pair of legs. This grants a 20 feet land speed if the target did not possess one. If this is not the form’s first pair of legs, the target gains a +4 CMD bonus against trip attempts. If this causes the target to become a quadruped, they gain the related increase to carrying capacity and may serve as a mount for creatures smaller than itself.<br>An extra head. This extra head does not possess its own personality nor natural attacks. For each extra head granted, the target gains one of the following benefits, chosen by the caster:<br>The target gains a +1 bonus to all skill checks.<br>The target may treat a two-handed or one-handed weapon as a light weapon for the purpose of two-weapon fighting penalties.<br>The target cannot be flanked.<br>The target gains a +2 bonus on saving throws against enchantment effects, and gains a new save against such effects 1 round later at the same DC to throw off the effect. If the target possesses a similar ability already, it may only use one reroll per round per effect.	
Alteration	Agile	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Dodge: The target gains a +2 dodge bonus to AC.<br>Evasion: The target gains incredible reflexes. When the target succeeds at a Reflex saving throw against an attack that normally deals half damage on a successful save, it instead takes no damage. This ability does not function when wearing medium or heavy armor.<br>Initiative: The target gains quickened reactions, granting a +4 competence bonus to initiative.<br>Uncanny Dodge: The target gains extraordinary reactions, granting uncanny dodge as the rogue ability. The target is no longer flat-footed at the start of combat nor loses Dexterity to AC against invisible attackers. If the target is granted this trait a second time or already has the uncanny dodge ability from another source, they instead gain improved uncanny dodge as the rogue ability. The target can no longer be flanked. This defense denies a rogue the ability to sneak attack the target by flanking, unless the attacker has at least four more rogue levels than the target has Hit Dice.	
Alteration	Animal Mind	Base Talent	Alteration Talents					You may apply the following trait to your forms:<br>Bestial Mind: The target must succeed at a Will save or have their mind become bestial. Their Intelligence is reduced to 2, and they are treated as an animal for skills such as Handle Animal and Diplomacy. While the target has an Intelligence score of 2 or less they cannot use any spells, skills based on mental ability scores, or magic sphere abilities, although they retain other aspects of their class levels such as base attack bonus and any other abilities.	
Alteration	Bestial Reflexes	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Lunge: Choose one natural attack the target possesses. As a full-round action, the target may make a single attack action at double its normal reach with that natural weapon with a +4 bonus to its attack roll.<br>Leaping Attack: As a standard action, the target may jump, making a single attack action at any point during the leap. It does not provoke an attack of opportunity for leaving a threatened square.<br>Pounce: The target may make a full-attack after a charge. Granting this trait costs an additional spell point.<br>Trample: As a full-round action, the target may move up to its move speed, moving over and dealing slam damage (1d6 + 1-1/2 Strength modifier Medium, 1d4 + 1-1/2 Strength modifier Small) to any creatures smaller than itself. Creatures affected by the trample can make an attack of opportunity, but at a –4 penalty.<br>If they forgo an attack of opportunity, they may attempt to avoid the target, attempting a Reflex save for half damage (DC 10 + 1/2 Hit Dice + Str modifier). A trampling creature can only deal trampling damage to each target once per round, no matter how many times it moves over that creature.	Granting this trait costs an additional spell point.
Alteration	Bestial Spirit	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Ferocity: The target may stay conscious and continue to fight when at negative hit points, but loses 1 hit point per round they do so.<br>Rend: The target must possess claws. The target gains the rend universal monster ability, and no more than once per round, may deal damage equal to 1 claw + 1-1/2 times their Strength modifier when successfully striking a target with 2 or more claw attacks in the same round.<br>Roar: The target may roar, howl, growl, or make other threatening vocalizations as a standard action to attempt an Intimidate check to demoralize all foes within 30 feet that can hear the sound. This trait may be taken a second time to reduce this to a move action.<br>Speak with Animals: The target gains the ability to speak with and understand animals and vermin.<br>Trip: Choose one natural attack the target possesses. The target gains the trip universal monster ability, and may attempt a trip as a free action that does not provoke an attack of opportunity when they successfully hit with that attack. The creature is not tripped in return if the attempt fails by 10 or more. You may take this trait multiple times, but only once per natural attack.	
Alteration	Bully	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Powerful Charge: Choose one natural attack the target possesses. When charging, that attack deals damage as if it were one size larger and receives 1-1/2 times the target’s Strength bonus to damage instead of 1 times.<br>Push/Pull: Choose one natural attack the target possesses. On a successful attack against a creature of equal or smaller size, the target may attempt a bull rush, drag, or reposition check as a free action that does not provoke an attack of opportunity.	
Alteration	Extreme Adaptation	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Altitude Immunity: The target is acclimated to living at high altitudes and additionally can treat its altitude zone as one lower, +1 lower per 10 caster levels.<br>Breathless: The target may survive without air. The target becomes immune to effects that require breathing (such as inhaled poison), can survive underwater, or even in a vacuum (though does not provide protection from extreme cold or other conditions that may be encountered in such an environment). This does not give immunity to cloud or gas attacks that do not require breathing. Granting this trait costs an additional spell point.<br>Endure Weather: The target suffers no harm from being in a hot or cold environment and can exist comfortably in conditions between -50 and 140 degrees Fahrenheit (-45 and 60 degrees Celsius) without having to attempt Fortitude saves. The creature’s equipment is likewise protected. This trait does not provide any protection from fire or cold damage, nor does it protect against other environmental hazards such as smoke, lack of air, and so forth.<br>Pressure Immunity: The target is immune to the pressures of the ocean and takes no damage from water pressure.	Granting this trait costs an additional spell point.
Alteration	Giant Traits	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Giant Fortitude: The target gains the hearty toughness of giants. The target gains a number of temporary hit points equal to your caster level and a bonus on Fortitude saving throws equal to 1 +1 per 10 caster levels. If the target does not take damage for one minute, the temporary hit points replenish. These temporary hit points are lost if the shapeshift ends or if the target loses this trait. [SA:EAO]<br>Rock Catching: Once per round the creature can catch a rock (or projectile of a similar shape) up to its size that it would normally be hit by. The creature must succeed at a Reflex save against a DC of 15 for a Small or smaller rock, +5 per size increase. (If the projectile provides a magical bonus on attack rolls, the DC increases by that amount.) The creature must be aware of the attack in order to attempt a rock catching.<br>Rock Throwing: 2d6 Medium, 2d4 Small, this deals 1-1/2 times Strength damage, and has a range of 20 feet + 10 feet per 2 caster levels.	
Alteration	Greater Changes	Base Talent	Alteration Talents					Increase the number of traits you may apply with your shapeshift by 1.	
