name	type	source	drawbacks_gained	boons_gained	description
Ace	Martial	[EO2]		Athletics sphere (Driver drawback) selecting either the (fly), (run), or (swim) package, Ace Pilot, Mobile Striker, Reflexive Twist<br>Variable: Individuals trained in the Ace tradition gain one Athletics sphere talent of their choice.	An ace is one with his vehicle, controlling it through stunts that should be entirely impossible.
All-Thrower	Martial	[High. HB]		Equipment: Caber Toss, Rock Toss<br>Berserker sphere<br>Variable: All-throwers gain either Barroom as a bonus sphere or the Barbaric Throw talent from the Berserker sphere as a bonus talent.	All-throwers are athletic warriors who specialize in sports that involve hurling large and cumbersome objects.
Animal Trainer	Martial			Equipment: Bounty Hunter’s Tools<br>Beastmastery sphere (handle animal) package<br>Variable: Animal trainers may select two additional talents, each chosen from either the Beastmastery sphere or the Equipment sphere.	Animal trainers fight alongside tamed beasts, wielding the tools used for capturing and training their pets in battle.
Armored Dreadnought	Martial			Equipment: Armor Training, Shield Training<br>Variable: Armored dreadnoughts gains two talents of their choice from the Equipment sphere.	Armored Dreadnoughts specialize in wielding massive shields and titanic suits of armor that would crush lesser men under their enormous weight.
Barbarian	Martial			Equipment: Tribal training<br>Berserker sphere<br>Scout sphere<br>Variable: Barbarians gain either the Barroom sphere or the Beastmastery sphere.	Barbarians are tribal warriors who cultivate their rage for use in combat. Skilled at both hunting and warfare, Barbarians are deadly, versatile fighters. Depending on the traditions of their tribe, a barbarian might fight alongside war animals or focus on their rage, breaking their weapons as often as their enemies with their mighty blows.
Bolt Juggler	Martial			Equipment: Mechanical Training<br>Dual Wielding sphere<br>Variable: Bolt jugglers gain either Expert Reloading or Mechanical Savant from the Equipment sphere.<br>Variable: Bolt jugglers gain either Impossible Reload or Mixed Assault from the Dual Wielding sphere.	Bolt jugglers are a sight to behold, awe-inspiring on the training ground and dread-inspiring on the battleground. While some use their crossbows to compliment a melee weapon, others wield two crossbows at once in a dizzying display of coordination.
Buccaneer	Martial	[Conq. HB]		Equipment: Duelist Training, Firearm Proficiency<br>Dual Wielding sphere<br>Variable: Buccaneers gain either the Athletics sphere, Fencing sphere, or a Dual Wielding talent of their choice.	Most often found as hired company of pirates, buccaneers are fond of flashy and sometimes acrobatic combat, making themselves formidable foes in close quarters and at range.
Bushido Warrior	Martial			Equipment: Armor Training, Bushido Training<br>Duelist sphere<br>Variable: Followers of the bushido way gain either the Beastmastery base sphere (Ride package), or Draw Cut from the Duelist sphere.	Training in the bushido way includes learning how to wear the ceremonial armor of your station, as well as wield weapons like the katana and longbow. Some bushido warriors also train in horsemanship, while others perfect the art of single combat.
Canny Hunter	Martial			Equipment: Huntsman Training<br>Scout sphere<br>Sniper sphere<br>Variable: Canny hunters gain one additional talent of their choice from either the Equipment sphere or Scout sphere.	Canny hunters are skilled marksmen and trackers, capable of spotting a creature’s weaknesses and felling them with a single well placed shot.
Challenging Knight	Martial	[3PP]		Equipment: Armor Training, Knightly Training<br>Gladiator sphere<br>Variable: Individuals trained in the challenging knight gain either the Guardian sphere or a Gladiator talent of their choice.	Unlike other knights, challenging knights are far more focused on their own personal glory, keeping combat and every other possible situation focused on themselves.
Chemist	Martial			Equipment: Fast Draw<br>Alchemy sphere (formulae package)<br>Barroom sphere<br>Variable: Chemists gain one additional talent of their choice from either the Barroom sphere or Alchemy sphere.	Chemists who go adventuring often find the bottle makes as good of a weapon as what might be inside it.
Combat Gunner	Martial			Equipment: Firearm Proficiency, Gun Kata<br>Open Hand sphere<br>Variable: Combat gunners gain either Barrage sphere or Sniper sphere.	Guns aren’t the most friendly of weapons, making the efforts of combat gunners all the more impressive. Willing to duck and weave into melee combat as well as fire from a distance, these masters of close and long range combat lack any fear.
Commando	Martial			Equipment: Rogue Weapon Training<br>Leadership sphere (cohort) package<br>Scout sphere<br>Variable: Commandos gain a bonus talent from either the Equipment or Scout spheres.	Specialists that lead small groups in stealthy raids and sabotage.
Courtesan	Martial			Equipment: Dancer Training, Unarmored Training<br>Fencing sphere<br>Variable: Courtesans gain either the Dual Wielding sphere or a talent from the Fencing sphere.	Courtesans are students of courtly manners and artistic pursuits, and are often experts at painting, dancing, music, and engaging conversation. In a world of magic and court intrigue, courtesans are often also trained as bodyguards and assassins.
Cunning Leader	Martial			Equipment: One (discipline) talent of their choice<br>Fencing sphere, Expert Feint<br>Warleader sphere	The battlefield is an ever shifting place, causing chaos and anarchy to reign supreme. Only a cunning leader is able to properly navigate the terrain, commanding their troops while controlling the flow of combat in a way unique to them.
Crushing Juggernaut	Martial			Equipment: Armor Training<br>Brute sphere<br>Variable: Crushing juggernauts gain a bonus talent of their choice from both the Brute sphere and the Equipment sphere.	Crushing juggernauts specialize in using their bulk and the mass of their heavy armor to grind their opponents into dust.
